GeneID	Length	BAMS.N2WT_INP_.bam	BAMS.OK803.INP__.bam	BAMS.N2.J2.1_.bam	BAMS.N2.J2.2_.bam	BAMS.N2.J2.3_.bam	BAMS.OK803.J2.1_.bam	BAMS.OK803.J2.2_.bam	BAMS.OK803.J2.3_.bam
WBGene00021407	2306	35	31	6	8	6	3	4	0
WBGene00021408	5401	61	78	44	43	48	27	25	14
WBGene00021409	1706	30	33	65	75	55	33	40	17
WBGene00001492	16400	1065	1339	621	536	496	369	291	192
WBGene00235257	231	3	3	0	0	0	0	1	0
WBGene00235258	415	0	0	0	0	0	0	0	0
WBGene00235259	1729	10	18	15	8	14	10	5	7
WBGene00015246	3193	27	9	8	7	6	1	1	3
WBGene00015247	3084	68	92	52	47	30	28	15	14
WBGene00001111	6222	18	29	16	12	16	6	1	0
WBGene00017928	2436	489	560	174	164	140	134	98	91
WBGene00017929	4429	718	991	390	299	304	276	178	134
WBGene00000674	9574	150	173	98	115	103	59	36	34
WBGene00198551	70	1	0	0	0	0	0	0	0
WBGene00021400	1831	26	28	5	2	5	8	2	3
WBGene00019821	6335	692	892	283	273	248	228	175	136
WBGene00019822	4978	987	1199	409	379	368	305	234	165
WBGene00019823	2717	560	529	204	168	135	124	94	70
WBGene00001728	585	0	1	1	0	0	0	0	0
WBGene00019824	1859	894	1170	510	436	443	381	277	185
WBGene00019825	1234	380	408	96	97	99	86	74	47
WBGene00001071	1821	25	16	11	18	8	6	7	7
WBGene00020647	1714	740	799	253	218	198	178	133	102
WBGene00003932	2347	272	325	112	86	90	97	64	48
WBGene00005487	949	2	5	7	5	7	2	0	5
WBGene00045177	823	4	4	3	3	5	1	0	0
WBGene00020648	2654	12	17	6	5	5	9	4	4
WBGene00019298	5852	1148	946	365	311	235	236	180	143
WBGene00019299	2186	14	10	3	1	6	3	0	0
WBGene00001099	5550	746	896	360	375	298	386	273	188
WBGene00001735	1452	25	7	2	9	1	0	1	1
WBGene00000675	1275	2385	2548	1142	1192	910	1045	684	477
WBGene00017574	2370	115	113	43	39	52	26	19	21
WBGene00197593	58	0	0	0	0	0	0	0	0
WBGene00022048	16859	13104	14619	6920	6035	5774	4420	3198	2544
WBGene00004981	3288	577	651	126	115	111	116	91	40
WBGene00020295	1236	294	338	141	117	100	78	53	46
WBGene00001338	1783	269	342	91	99	86	88	41	54
WBGene00045249	391	71	87	14	11	13	9	7	3
WBGene00002187	4413	278	394	179	130	147	118	101	86
WBGene00165558	21	1	0	1	0	2	0	1	0
WBGene00001332	4324	656	796	688	664	572	467	373	258
WBGene00000913	5244	6680	7206	3618	3187	2891	2536	1900	1323
WBGene00022047	1064	58	118	45	28	35	42	25	19
WBGene00002041	11341	688	908	502	434	445	298	295	204
WBGene00235263	3799	13	6	17	13	14	7	5	4
WBGene00019773	2998	14	7	6	3	2	3	2	1
WBGene00019774	19876	124	158	75	76	82	26	23	18
WBGene00021011	1532	62	82	28	29	26	16	8	5
WBGene00021012	12721	994	1362	441	399	430	327	233	193
WBGene00000213	3596	298	297	111	106	94	95	77	37
WBGene00021013	1205	1	6	1	2	1	1	0	1
WBGene00017276	856	0	0	0	0	0	0	0	0
WBGene00200779	173	0	1	0	0	0	0	1	0
