DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_local:rRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_opposite_strand_meta:rRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:antisense	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_same_strand_meta:tRNA	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	baseMean	chr	end	gene_biotype_name	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	lfcSE	log2FoldChange	padj	pvalue	right_int_length	sample_name	source	start	stat	strand	type
15726	15726	0	False	False	800	0	0	0	0	0	['WBGene00021408']	0		0	0	0	0	0	0	0	0	['WBGene00021408']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	14926	14926	0	DOG	1075.28571428571	IV	14926	protein_coding	WBGene00021406	0	0	0	0	0	['WBGene00021407']	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	14231	0.29015488377072496	-0.594854778422479	0.231681648734392	0.040780278969709	6567.0	N2HS_J2B_sp	WormBase	695	4.1851219368007495	+	gene
42420	42420	0	False	False	800	0	0	0	0	0	['WBGene00001492']	0		0	0	0	0	0	0	0	0	['WBGene00001492']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	41620	41620	0	DOG	1.7142857142857097	IV	41620	ncRNA	WBGene00195502	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	149	3.73701826383385	-1.41501235809817		0.7056460499358459	17071.0	N2HS_J2B_sp	WormBase	41471	0.14266483223522303	+	gene
79680	79680	0	False	False	300	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	79380	79380	0	DOG	3.0	IV	79380	protein_coding	WBGene00235262	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	104	3.29831313214632	-2.50246611899238		0.4505703248410589	772.0	N2HS_J2B_sp	WormBase	79276	0.569216755465025	+	gene
170880	170880	0	False	False	900	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	169980	169980	0	DOG	71.5714285714286	IV	169980	protein_coding	WBGene00021396	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4903	0.6413310471946639	-0.886747219729967	0.428067797519883	0.167760383733724	5745.0	N2HS_J2B_sp	WormBase	165077	1.9028435200786	+	gene
184554	227161	0	False	True	43900	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	['WBGene00019821']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	['WBGene00196851']	0	['WBGene00021395', 'WBGene00021402', 'WBGene00000815', 'WBGene00044736', 'WBGene00195063', 'WBGene00021394', 'WBGene00021401']	0	0	0	0	0	183261	183261	0	DOG	238.57142857142898	IV	183261	protein_coding	WBGene00006561	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4253	0.4204447263100421	-0.6558419071376309	0.362442386834016	0.11948792440073	1293.0	N2HS_J2B_sp	WormBase	179008	2.42402029074167	+	gene
202886	202886	0	False	False	300	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	202586	202586	0	DOG	1445.42857142857	IV	202586	protein_coding	WBGene00000815	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	7841	0.28691245740162497	-0.368706216989123	0.46515962287296797	0.199263322847655	736.0	N2HS_J2B_sp	WormBase	194745	1.64776556367791	+	gene
244329	244329	0	False	False	200	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	244129	244129	0	DOG	1325.85714285714	IV	244129	protein_coding	WBGene00019820	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3678	0.29150050688708196	-0.5743470673599761	0.24231095612885103	0.0492789077255897	985.0	N2HS_J2B_sp	WormBase	240451	3.86582681523369	+	gene
330823	330831	0	False	True	200	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	['WBGene00017577']	0	0	0	0	0	330631	330631	0	DOG	186.57142857142898	IV	330631	protein_coding	WBGene00017578	0	0	0	0	0	['WBGene00000675']	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	5568	0.4221096870443621	-0.34990465705108004	0.6563945813715361	0.40747973286157796	192.0	N2HS_J2B_sp	WormBase	325063	0.6861420141278809	+	gene
621425	621425	0	False	False	500	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	620925	620925	0	DOG	207.714285714286	IV	620925	protein_coding	WBGene00015993	0	0	0	['WBGene00200850']	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	['WBGene00022911']	0.0	5381	1.0765660771371302	3.5068137935539	0.0374457280322442	0.00167145586297424	3139.0	N2HS_J2B_sp	WormBase	615544	9.87933224857159	+	gene
857327	863546	0	False	True	6700	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	['WBGene00195533']	0	['WBGene00021939']	0	0	0	0	0	856846	856846	0	DOG	14.142857142857098	IV	856846	protein_coding	WBGene00044757	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1173	1.60390048370911	3.14837994065494		0.0408836342465584	481.0	N2HS_J2B_sp	WormBase	855673	4.18083164286277	+	gene
