gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00021406	protein_coding	DOG	IV	+	800	14926	15726	14926	15726	0	False	False	0	0.231681648734392	1075.28571428571	0.040780278969709	-0.594854778422479	0.29015488377072496	4.1851219368007495	WormBase	14231	0.0	6567.0	N2HS_J2B_sp	695	14926	gene
WBGene00195502	ncRNA	DOG	IV	+	800	41620	42420	41620	42420	0	False	False	0		1.7142857142857097	0.7056460499358459	-1.41501235809817	3.73701826383385	0.14266483223522303	WormBase	149	0.0	17071.0	N2HS_J2B_sp	41471	41620	gene
WBGene00235262	protein_coding	DOG	IV	+	300	79380	79680	79380	79680	0	False	False	0		3.0	0.4505703248410589	-2.50246611899238	3.29831313214632	0.569216755465025	WormBase	104	0.0	772.0	N2HS_J2B_sp	79276	79380	gene
WBGene00021396	protein_coding	DOG	IV	+	900	169980	170880	169980	170880	0	False	False	0	0.428067797519883	71.5714285714286	0.167760383733724	-0.886747219729967	0.6413310471946639	1.9028435200786	WormBase	4903	0.0	5745.0	N2HS_J2B_sp	165077	169980	gene
WBGene00006561	protein_coding	DOG	IV	+	43900	183261	184554	183261	227161	0	False	True	0	0.362442386834016	238.57142857142898	0.11948792440073	-0.6558419071376309	0.4204447263100421	2.42402029074167	WormBase	4253	0.0	1293.0	N2HS_J2B_sp	179008	183261	gene
WBGene00000815	protein_coding	DOG	IV	+	300	202586	202886	202586	202886	0	False	False	0	0.46515962287296797	1445.42857142857	0.199263322847655	-0.368706216989123	0.28691245740162497	1.64776556367791	WormBase	7841	0.0	736.0	N2HS_J2B_sp	194745	202586	gene
WBGene00019820	protein_coding	DOG	IV	+	200	244129	244329	244129	244329	0	False	False	0	0.24231095612885103	1325.85714285714	0.0492789077255897	-0.5743470673599761	0.29150050688708196	3.86582681523369	WormBase	3678	0.0	985.0	N2HS_J2B_sp	240451	244129	gene
WBGene00017578	protein_coding	DOG	IV	+	200	330631	330823	330631	330831	0	False	True	0	0.6563945813715361	186.57142857142898	0.40747973286157796	-0.34990465705108004	0.4221096870443621	0.6861420141278809	WormBase	5568	0.0	192.0	N2HS_J2B_sp	325063	330631	gene
WBGene00015993	protein_coding	DOG	IV	+	500	620925	621425	620925	621425	0	False	False	0	0.0374457280322442	207.714285714286	0.00167145586297424	3.5068137935539	1.0765660771371302	9.87933224857159	WormBase	5381	0.0	3139.0	N2HS_J2B_sp	615544	620925	gene
WBGene00044757	protein_coding	DOG	IV	+	6700	856846	857327	856846	863546	0	False	True	0		14.142857142857098	0.0408836342465584	3.14837994065494	1.60390048370911	4.18083164286277	WormBase	1173	0.0	481.0	N2HS_J2B_sp	855673	856846	gene
WBGene00016648	protein_coding	DOG	IV	+	25900	896766	896958	896766	922666	0	False	True	0	0.5718921054353979	239.0	0.30212779940408	-0.46042793767759793	0.445665056963277	1.06477869914312	WormBase	1375	0.0	192.0	N2HS_J2B_sp	895391	896766	gene
WBGene00016646	protein_coding	DOG	IV	+	15500	905071	905263	905071	920571	0	True	True	0	0.567640316385913	230.57142857142898	0.297736074140273	-0.453162059396075	0.43469853370303496	1.08430686864398	WormBase	1375	0.0	192.0	N2HS_J2B_sp	903696	905071	gene
WBGene00019073	protein_coding	DOG	IV	+	300	909223	909415	909223	909523	0	True	True	0	0.5793308730862211	237.57142857142898	0.31097309675796503	-0.45466005784849706	0.448212281233614	1.02653835823953	WormBase	1375	0.0	192.0	N2HS_J2B_sp	907848	909223	gene
WBGene00016637	protein_coding	DOG	IV	+	6500	1105086	1107396	1105086	1111586	0	False	True	0	0.9764517520136221	810.8571428571429	0.9453191523138019	0.0401610217019527	0.584798344935478	0.00470404123834101	WormBase	313	0.0	2310.0	N2HS_J2B_sp	1104773	1105086	gene
WBGene00022427	protein_coding	DOG	IV	+	300	1201846	1202146	1201846	1202146	0	False	False	0	0.00501980192240274	1464.28571428571	0.00016233474675044198	-1.1481547911480001	0.302559750566902	14.223451759886999	WormBase	8781	0.0	14744.0	N2HS_J2B_sp	1193065	1201846	gene
