sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2HS_INP	12000	WBGene00004677	15061150	15062083	I	+	DOG	INP	HS
N2HS_INP	9100	WBGene00004512	15063836	15064301	I	+	DOG	INP	HS
N2HS_INP	8400	WBGene00004567	15064453	15069280	I	+	DOG	INP	HS
N2HS_INP	3400	WBGene00012498	11610910	11614310	IV	+	DOG	INP	HS
N2HS_INP	500	WBGene00219590	8820154	8820654	II	+	DOG	INP	HS
N2HS_INP	400	WBGene00009936	15297544	15297944	X	+	DOG	INP	HS
N2HS_INP	300	WBGene00001898	14491115	14491415	X	+	DOG	INP	HS
N2HS_INP	300	WBGene00004513	15071033	15071333	I	+	DOG	INP	HS
N2HS_INP	300	WBGene00077466	17117981	17118154	V	+	DOG	INP	HS
N2HS_INP	300	WBGene00012618	20509508	20509808	V	+	DOG	INP	HS
N2HS_INP	200	WBGene00013427	11609082	11609282	III	+	DOG	INP	HS
N2HS_INP	200	WBGene00219279	12603261	12603461	X	+	DOG	INP	HS
N2HS_INP	200	WBGene00017287	5347013	5347213	II	+	DOG	INP	HS
N2HS_INP	200	WBGene00008144	14691861	14692061	V	+	DOG	INP	HS
N2HS_INP	200	WBGene00020757	881506	881706	III	+	DOG	INP	HS
