DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	sample_name	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_meta:antisense	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:tRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_meta:protein_coding
3255978	3255978	0	False	False	300	3255678	3255678	0	DOG	I	.	.	3255678	protein_coding	gene_id "WBGene00003258"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003258	0	0	0	['WBGene00200442']	0	['WBGene00021834']	0	0	0	0	0	0	0	['WBGene00198001', 'WBGene00199669', 'WBGene00201300', 'WBGene00220179']	0	0	0	0.0	0	0	0	0	22287	1011.0	WormBase	3233391	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4172615	4172615	0	False	False	300	4172315	4172315	0	DOG	I	.	.	4172315	snRNA	gene_id "WBGene00004836"; gene_source "WormBase"; gene_biotype "snRNA";	WBGene00004836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	109	3004.0	WormBase	4172206	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00020036']	['WBGene00020036']
6836231	6836231	0	False	False	600	6835631	6835631	0	DOG	I	.	.	6835631	ncRNA	gene_id "WBGene00220000"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00220000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	125	744.0	WormBase	6835506	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7847323	7847323	0	False	False	400	7846923	7846923	0	DOG	I	.	.	7846923	protein_coding	gene_id "WBGene00009277"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00014748']	0.0	0	0	0	0	6481	2052.0	WormBase	7840442	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00009274']	['WBGene00009274']
9122524	9123198	0	False	True	800	9122398	9122398	0	DOG	I	.	.	9122398	protein_coding	gene_id "WBGene00014115"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00014115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	4283	126.0	WormBase	9118115	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00220246']	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00014116']
9123093	9123093	0	True	False	400	9122693	9122693	0	DOG	I	.	.	9122693	snoRNA	gene_id "WBGene00220246"; gene_source "WormBase"; gene_biotype "snoRNA";	WBGene00220246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	169	1971.0	WormBase	9122524	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10653243	10653243	0	False	False	200	10653043	10653043	0	DOG	I	.	.	10653043	protein_coding	gene_id "WBGene00015228"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	2013	14765.0	WormBase	10651030	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00015236']	['WBGene00015236']
11585159	11585159	0	False	False	300	11584859	11584859	0	DOG	I	.	.	11584859	tRNA	gene_id "WBGene00014126"; gene_source "WormBase"; gene_biotype "tRNA";	WBGene00014126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	72	499.0	WormBase	11584787	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00004963']	['WBGene00004963']
12486435	12486435	0	False	False	200	12486235	12486235	0	DOG	I	.	.	12486235	protein_coding	gene_id "WBGene00012104"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	2426	637.0	WormBase	12483809	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12528106	12528106	0	False	False	200	12527906	12527906	0	DOG	I	.	.	12527906	protein_coding	gene_id "WBGene00010770"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010770	0	0	0	['WBGene00199394']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	9119	4763.0	WormBase	12518787	+	gene	N2HS_J2B_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
