gene_id_name	annotation	DOG length	tir_repeat_length_in_DOG	tir length / DOG length
WBGene00014450	"WS258 
 random intergenic"	10300	0.0	0.0
WBGene00014451	"WS258 
 random intergenic"	12100	0.0	0.0
WBGene00010957	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00010958	"WS258 
 random intergenic"	3500	0.0	0.0
WBGene00014452	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014453	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00014454	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014455	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014456	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014457	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00010959	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00010960	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00014458	"WS258 
 random intergenic"	1200	0.0	0.0
WBGene00014459	"WS258 
 random intergenic"	3500	0.0	0.0
WBGene00014460	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00010961	"WS258 
 random intergenic"	1200	0.0	0.0
WBGene00014461	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00014462	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00014463	"WS258 
 random intergenic"	1000	0.0	0.0
WBGene00014464	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00000829	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014465	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00010962	"WS258 
 random intergenic"	2300	0.0	0.0
WBGene00014466	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00010963	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00010964	"WS258 
 random intergenic"	1600	0.0	0.0
WBGene00014467	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00014468	"WS258 
 random intergenic"	1000	0.0	0.0
WBGene00014469	"WS258 
 random intergenic"	10000	0.0	0.0
WBGene00014470	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00010965	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014471	"WS258 
 random intergenic"	1100	0.0	0.0
WBGene00014472	"WS258 
 random intergenic"	300	0.0	0.0
