DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
851328	851328		False	False	200	851128	851128		ADOG	III	.	.	852396	protein_coding	gene_id "WBGene00019333"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019333	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9962.0	1068		WormBase	851328	-	gene	False	N2-J2-3__split
6622676	6622676		False	False	200	6622476	6622476		ADOG	III	.	.	6624972	protein_coding	gene_id "WBGene00015734"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015734	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	14570.0	2296		WormBase	6622676	-	gene	False	N2-J2-3__split
8854993	8854993		False	False	800	8854193	8854193		ADOG	V	.	.	8862049	protein_coding	gene_id "WBGene00017190"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017190	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1562.0	7056		WormBase	8854993	-	gene	False	N2-J2-3__split
17995347	17995347		False	False	200	17995147	17995147		ADOG	V	.	.	18001368	protein_coding	gene_id "WBGene00013352"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013352	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	15265.0	6021		WormBase	17995347	-	gene	False	N2-J2-3__split
433659	433659		False	False	200	433459	433459		ADOG	II	.	.	435406	pseudogene	gene_id "WBGene00044639"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00044639	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4507.0	1747		WormBase	433659	-	gene	False	N2-J2-3__split
5626316	5626316		False	False	200	5626116	5626116		ADOG	II	.	.	5627263	protein_coding	gene_id "WBGene00235269"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00235269	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3833.0	947		WormBase	5626316	-	gene	False	N2-J2-3__split
3539554	3539554		False	False	200	3539354	3539354		ADOG	I	.	.	3546904	protein_coding	gene_id "WBGene00004389"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004389	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9598.0	7350		WormBase	3539554	-	gene	False	N2-J2-3__split
12809999	12809999		False	False	300	12809699	12809699		ADOG	I	.	.	12815641	protein_coding	gene_id "WBGene00012476"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012476	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	317.0	5642		WormBase	12809999	-	gene	False	N2-J2-3__split
15072266	15072266		True	False	300	15071966	15071966		ADOG	I	.	.	15072426	ncRNA	gene_id "WBGene00201669"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201669	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686.0	160		WormBase	15072266	-	gene	False	N2-J2-3__split
13505270	13505270		False	False	200	13505070	13505070		ADOG	IV	.	.	13505762	protein_coding	gene_id "WBGene00003755"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003755	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2418.0	492		WormBase	13505270	-	gene	False	N2-J2-3__split
