gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00022090	protein_coding	ADOG	IV	+	200	2494135	2494335	2494135	2494335	0.0	False	False	0.0	0.998665344693429	191.0	0.52954773325176	0.33105056099046903	0.526474548747249	0.395259359550053	WormBase	5315	0.0	1600.0	OK8-J2-1_split	2488820	2494135	gene
WBGene00004974	protein_coding	ADOG	IV	+	300	9934285	9934585	9934285	9934585	0.0	False	False	0.0	0.998665344693429	25.75	0.708839940488341	0.36154385678185	0.9680704746754508	0.139438417697853	WormBase	375	0.0	10201.0	OK80-INP_split	9933910	9934285	gene
WBGene00012384	pseudogene	ADOG	IV	+	200	11070950	11071150	11070950	11071150	0.0	False	False	0.0	0.629811256985991	66.5	0.0316803529823737	-3.1966838605650096	1.43471312264245	4.61571133293346	WormBase	1563	0.0	12197.0	OK80-INP_split	11069387	11070950	gene
WBGene00014958	pseudogene	ADOG	IV	+	300	15558079	15558379	15558079	15558379	0.0	False	False	0.0	0.998665344693429	80.75	0.7925609399348891	-0.16258198013894598	0.618265492023457	0.0691619295378629	WormBase	2042	0.0	437.0	N2-J2-3__split	15556037	15558079	gene
WBGene00009156	protein_coding	ADOG	IV	+	200	17277748	17277948	17277748	17277948	0.0	False	False	0.0		5.375	0.62933490568094	-0.8479881401207321	1.75796943324697	0.23296375241441294	WormBase	792	0.0	665.0	OK80-INP_split	17276956	17277748	gene
WBGene00021850	protein_coding	ADOG	III	+	200	2511802	2512002	2511802	2512002	0.0	False	False	0.0	0.998665344693429	83.5	0.4095143537441969	-0.516839314798752	0.626266400918036	0.6802101946823029	WormBase	2954	0.0	17261.0	OK80-INP_split	2508848	2511802	gene
WBGene00008005	protein_coding	ADOG	III	+	200	4795423	4795623	4795423	4795623	0.0	False	False	0.0	0.998665344693429	10.0	0.872687700131522	-0.221209828605477	1.3808884824561998	0.0256786155994817	WormBase	2337	0.0	1416.0	OK80-INP_split	4793086	4795423	gene
WBGene00219614	lincRNA	ADOG	III	+	200	10719485	10719685	10719485	10719685	0.0	False	False	0.0	0.998665344693429	45.25	0.7329043237198279	-0.239712707888355	0.7024626640564691	0.116461591932897	WormBase	1144	0.0	23292.0	OK80-INP_split	10718341	10719485	gene
WBGene00021044	protein_coding	ADOG	X	+	200	1452306	1452506	1452306	1452506	0.0	False	False	0.0	0.998665344693429	14.375	0.970252353432646	-0.0405217587465421	1.08657178716113	0.00139067742736643	WormBase	1538	0.0	6741.0	OK80-INP_split	1450768	1452306	gene
WBGene00255594	protein_coding	ADOG	I	+	300	219099	219399	219099	219399	0.0	False	False	0.0	0.99929142316097	24.875	0.979370453668192	-0.027125314016942	1.04908751185697	0.00066864565057756	WormBase	1039	0.0	21392.0	N2WT_INP_split	218060	219099	gene
