sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2WT_INP	10700	WBGene00195813	15068355	15070431	I	-	DOG	INP	N2
N2WT_INP	2800	WBGene00198814	15061159	15063050	I	-	DOG	INP	N2
N2WT_INP	1400	WBGene00019593	2285630	2287030	II	-	DOG	INP	N2
N2WT_INP	1100	WBGene00003598	4893547	4894647	III	-	DOG	INP	N2
N2WT_INP	700	WBGene00019592	2279978	2280678	II	-	DOG	INP	N2
N2WT_INP	500	WBGene00015485	6421959	6422459	III	-	DOG	INP	N2
N2WT_INP	500	WBGene00015273	2482504	2483004	V	-	DOG	INP	N2
N2WT_INP	500	WBGene00021227	2374543	2375043	V	-	DOG	INP	N2
N2WT_INP	500	WBGene00008968	8752860	8753195	IV	-	DOG	INP	N2
N2WT_INP	500	WBGene00017288	5347596	5348096	II	-	DOG	INP	N2
N2WT_INP	400	WBGene00009301	14869206	14869606	X	-	DOG	INP	N2
N2WT_INP	400	WBGene00220207	12122800	12123200	III	-	DOG	INP	N2
N2WT_INP	300	WBGene00012961	12095477	12095777	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00012719	13143073	13143373	III	-	DOG	INP	N2
N2WT_INP	300	WBGene00196043	4355481	4355632	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00202259	4352594	4352745	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00201669	15071966	15072266	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00220154	1651599	1651899	IV	-	DOG	INP	N2
N2WT_INP	300	WBGene00199244	4349707	4349858	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00197673	4346820	4346971	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00195962	4343780	4343931	I	-	DOG	INP	N2
N2WT_INP	300	WBGene00219659	7853975	7854250	V	-	DOG	INP	N2
N2WT_INP	300	WBGene00194769	16603369	16603529	V	-	DOG	INP	N2
N2WT_INP	300	WBGene00004246	211956	212256	I	-	DOG	INP	N2
N2WT_INP	200	WBGene00219803	10574451	10574651	II	-	DOG	INP	N2
N2WT_INP	200	WBGene00019590	2290696	2290896	II	-	DOG	INP	N2
N2WT_INP	200	WBGene00170275	5766607	5766807	IV	-	DOG	INP	N2
N2WT_INP	200	WBGene00235276	8393259	8393459	IV	-	DOG	INP	N2
N2WT_INP	200	WBGene00021238	1988046	1988246	I	-	DOG	INP	N2
N2WT_INP	200	WBGene00044632	15521288	15521488	IV	-	DOG	INP	N2
N2WT_INP	200	WBGene00007124	20472822	20473022	V	-	DOG	INP	N2
N2WT_INP	200	WBGene00010597	9489828	9490028	V	-	DOG	INP	N2
N2WT_INP	200	WBGene00169972	5764600	5764800	IV	-	DOG	INP	N2
N2WT_INP	200	WBGene00014376	13411166	13411366	III	-	DOG	INP	N2
N2WT_INP	200	WBGene00012351	13626322	13626522	I	-	DOG	INP	N2
N2WT_INP	200	WBGene00008387	8485694	8485876	I	-	DOG	INP	N2
N2WT_INP	200	WBGene00007480	14720352	14720552	II	-	DOG	INP	N2
N2WT_INP	200	WBGene00014843	13886169	13886369	X	-	DOG	INP	N2
N2WT_INP	200	WBGene00021317	5352641	5352841	III	-	DOG	INP	N2
N2WT_INP	200	WBGene00023414	7035232	7035432	III	-	DOG	INP	N2
N2WT_INP	200	WBGene00012362	10711527	10711724	III	-	DOG	INP	N2
