sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2_J2_2	11000	WBGene00195813	15068355	15070431	I	-	DOG	J2	N2
N2_J2_2	8000	WBGene00196396	15063383	15067668	I	-	DOG	J2	N2
N2_J2_2	2900	WBGene00198814	15061159	15063050	I	-	DOG	J2	N2
N2_J2_2	1400	WBGene00019593	2285630	2287030	II	-	DOG	J2	N2
N2_J2_2	1100	WBGene00004765	3611851	3612951	III	-	DOG	J2	N2
N2_J2_2	1000	WBGene00220139	1888910	1889910	V	-	DOG	J2	N2
N2_J2_2	900	WBGene00013732	12537764	12538664	III	-	DOG	J2	N2
N2_J2_2	900	WBGene00003598	4893747	4894647	III	-	DOG	J2	N2
N2_J2_2	600	WBGene00001928	8852406	8853006	V	-	DOG	J2	N2
N2_J2_2	600	WBGene00201398	15060261	15060861	I	-	DOG	J2	N2
N2_J2_2	600	WBGene00004947	4517043	4517643	V	-	DOG	J2	N2
N2_J2_2	600	WBGene00001894	8894501	8895101	V	-	DOG	J2	N2
N2_J2_2	600	WBGene00197673	4346820	4346971	I	-	DOG	J2	N2
N2_J2_2	600	WBGene00195962	4343780	4343931	I	-	DOG	J2	N2
N2_J2_2	600	WBGene00202259	4352594	4352745	I	-	DOG	J2	N2
N2_J2_2	600	WBGene00199244	4349707	4349858	I	-	DOG	J2	N2
N2_J2_2	600	WBGene00196043	4355481	4355632	I	-	DOG	J2	N2
N2_J2_2	500	WBGene00015485	6421959	6422459	III	-	DOG	J2	N2
N2_J2_2	500	WBGene00008968	8752860	8753195	IV	-	DOG	J2	N2
N2_J2_2	500	WBGene00013164	15063767	15064267	II	-	DOG	J2	N2
N2_J2_2	500	WBGene00012476	12809682	12809999	I	-	DOG	J2	N2
N2_J2_2	400	WBGene00013669	14400279	14400679	I	-	DOG	J2	N2
N2_J2_2	400	WBGene00015504	5981378	5981778	I	-	DOG	J2	N2
N2_J2_2	400	WBGene00043328	994888	995288	II	-	DOG	J2	N2
N2_J2_2	400	WBGene00001707	1258974	1259374	I	-	DOG	J2	N2
N2_J2_2	300	WBGene00201669	15071966	15072266	I	-	DOG	J2	N2
N2_J2_2	300	WBGene00004890	3666623	3666923	I	-	DOG	J2	N2
N2_J2_2	300	WBGene00010713	13445519	13445819	IV	-	DOG	J2	N2
N2_J2_2	300	WBGene00017190	8854693	8854993	V	-	DOG	J2	N2
N2_J2_2	300	WBGene00000476	9994475	9994731	I	-	DOG	J2	N2
N2_J2_2	300	WBGene00012719	13143073	13143373	III	-	DOG	J2	N2
N2_J2_2	300	WBGene00235348	2679197	2679497	IV	-	DOG	J2	N2
N2_J2_2	300	WBGene00220118	2822437	2822737	I	-	DOG	J2	N2
N2_J2_2	300	WBGene00220154	1651599	1651899	IV	-	DOG	J2	N2
N2_J2_2	300	WBGene00004246	211956	212256	I	-	DOG	J2	N2
N2_J2_2	300	WBGene00194769	16603369	16603529	V	-	DOG	J2	N2
N2_J2_2	200	WBGene00021317	5352641	5352841	III	-	DOG	J2	N2
N2_J2_2	200	WBGene00014376	13411166	13411366	III	-	DOG	J2	N2
N2_J2_2	200	WBGene00220084	8484561	8484761	V	-	DOG	J2	N2
N2_J2_2	200	WBGene00015273	2482804	2483004	V	-	DOG	J2	N2
N2_J2_2	200	WBGene00021227	2374843	2375043	V	-	DOG	J2	N2
N2_J2_2	200	WBGene00021409	24483	24683	IV	-	DOG	J2	N2
N2_J2_2	200	WBGene00015734	6622476	6622676	III	-	DOG	J2	N2
N2_J2_2	200	WBGene00219803	10574451	10574651	II	-	DOG	J2	N2
N2_J2_2	200	WBGene00012961	12095577	12095777	I	-	DOG	J2	N2
N2_J2_2	200	WBGene00019587	2261928	2262128	II	-	DOG	J2	N2
N2_J2_2	200	WBGene00021238	1988046	1988246	I	-	DOG	J2	N2
N2_J2_2	200	WBGene00019590	2290696	2290896	II	-	DOG	J2	N2
N2_J2_2	200	WBGene00022128	2721679	2721879	I	-	DOG	J2	N2
N2_J2_2	200	WBGene00015895	5567586	5567786	II	-	DOG	J2	N2
N2_J2_2	200	WBGene00022491	1185048	1185248	III	-	DOG	J2	N2
