sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2HS_J2A	29300	WBGene00022951	16931619	16943323	X	+	DOG	J2	HS
N2HS_J2A	16200	WBGene00002019	9088617	9090077	V	+	DOG	J2	HS
N2HS_J2A	15900	WBGene00002018	1805875	1807450	V	+	DOG	J2	HS
N2HS_J2A	14500	WBGene00012618	20509508	20513736	V	+	DOG	J2	HS
N2HS_J2A	13100	WBGene00002017	9090604	9091451	V	+	DOG	J2	HS
N2HS_J2A	12300	WBGene00004677	15061150	15062083	I	+	DOG	J2	HS
N2HS_J2A	11500	WBGene00196816	9091627	9092345	V	+	DOG	J2	HS
N2HS_J2A	11100	WBGene00219590	8820154	8826069	II	+	DOG	J2	HS
N2HS_J2A	9300	WBGene00004512	15063836	15064301	I	+	DOG	J2	HS
N2HS_J2A	9000	WBGene00012620	20513892	20514637	V	+	DOG	J2	HS
N2HS_J2A	8800	WBGene00021599	1809468	1818268	V	+	DOG	J2	HS
N2HS_J2A	8600	WBGene00004567	15064453	15064838	I	+	DOG	J2	HS
N2HS_J2A	7600	WBGene00020861	9094345	9096007	V	+	DOG	J2	HS
N2HS_J2A	6600	WBGene00010790	11889634	11891812	V	+	DOG	J2	HS
N2HS_J2A	6300	WBGene00012621	20515706	20519227	V	+	DOG	J2	HS
N2HS_J2A	6200	WBGene00001910	9546838	9547083	V	+	DOG	J2	HS
N2HS_J2A	6100	WBGene00220000	6835631	6836375	I	+	DOG	J2	HS
N2HS_J2A	5700	WBGene00044180	14688959	14689154	V	+	DOG	J2	HS
N2HS_J2A	5200	WBGene00016637	1105086	1107396	IV	+	DOG	J2	HS
N2HS_J2A	5100	WBGene00017964	6278160	6278355	V	+	DOG	J2	HS
N2HS_J2A	4900	WBGene00165826	6278375	6279005	V	+	DOG	J2	HS
N2HS_J2A	4900	WBGene00044747	1279521	1284421	V	+	DOG	J2	HS
N2HS_J2A	4800	WBGene00045275	7415344	7416116	V	+	DOG	J2	HS
N2HS_J2A	4300	WBGene00004622	15068346	15069280	I	+	DOG	J2	HS
N2HS_J2A	4200	WBGene00003280	14034107	14035201	IV	+	DOG	J2	HS
N2HS_J2A	3900	WBGene00220142	10858150	10859534	I	+	DOG	J2	HS
N2HS_J2A	3700	WBGene00219916	17278502	17278959	IV	+	DOG	J2	HS
N2HS_J2A	3400	WBGene00012498	11610910	11614310	IV	+	DOG	J2	HS
N2HS_J2A	3300	WBGene00017659	9097233	9100533	V	+	DOG	J2	HS
N2HS_J2A	3000	WBGene00001898	14491115	14494115	X	+	DOG	J2	HS
N2HS_J2A	2400	WBGene00019668	6280146	6281359	V	+	DOG	J2	HS
N2HS_J2A	2400	WBGene00045276	7416628	7417660	V	+	DOG	J2	HS
N2HS_J2A	2200	WBGene00001749	9060181	9062381	III	+	DOG	J2	HS
N2HS_J2A	2100	WBGene00044726	14992667	14992898	II	+	DOG	J2	HS
N2HS_J2A	2100	WBGene00004833	5844974	5845777	II	+	DOG	J2	HS
N2HS_J2A	1900	WBGene00003163	6743899	6744272	X	+	DOG	J2	HS
N2HS_J2A	1800	WBGene00220243	6092811	6093305	I	+	DOG	J2	HS
N2HS_J2A	1600	WBGene00012384	11070950	11072550	IV	+	DOG	J2	HS
N2HS_J2A	1600	WBGene00004834	5543707	5544173	II	+	DOG	J2	HS
N2HS_J2A	1600	WBGene00019347	17008462	17010062	X	+	DOG	J2	HS
N2HS_J2A	1600	WBGene00003003	11484368	11484493	X	+	DOG	J2	HS
N2HS_J2A	1600	WBGene00003544	8828215	8829815	II	+	DOG	J2	HS
N2HS_J2A	1500	WBGene00016115	5665243	5665408	II	+	DOG	J2	HS
N2HS_J2A	1500	WBGene00000793	11693837	11694136	III	+	DOG	J2	HS
N2HS_J2A	1500	WBGene00007135	4340464	4341964	III	+	DOG	J2	HS
N2HS_J2A	1400	WBGene00201623	13818142	13819547	II	+	DOG	J2	HS
N2HS_J2A	1400	WBGene00012158	12021212	12022612	X	+	DOG	J2	HS
N2HS_J2A	1400	WBGene00047916	14035221	14035577	IV	+	DOG	J2	HS
N2HS_J2A	1300	WBGene00199162	13819596	13820210	II	+	DOG	J2	HS
N2HS_J2A	1300	WBGene00012977	11126890	11128190	III	+	DOG	J2	HS
N2HS_J2A	1300	WBGene00012663	10854561	10855861	III	+	DOG	J2	HS
N2HS_J2A	1300	WBGene00220108	14804876	14805986	II	+	DOG	J2	HS
N2HS_J2A	1200	WBGene00219847	11792284	11792445	X	+	DOG	J2	HS
N2HS_J2A	1200	WBGene00200004	13823034	13823648	II	+	DOG	J2	HS
N2HS_J2A	1000	WBGene00045159	14092651	14092792	V	+	DOG	J2	HS
N2HS_J2A	1000	WBGene00012734	13358674	13359674	I	+	DOG	J2	HS
N2HS_J2A	1000	WBGene00012928	11238252	11238451	III	+	DOG	J2	HS
N2HS_J2A	1000	WBGene00220094	11484924	11485924	X	+	DOG	J2	HS
N2HS_J2A	1000	WBGene00016904	280445	281445	I	+	DOG	J2	HS
N2HS_J2A	900	WBGene00174884	7049427	7049954	IV	+	DOG	J2	HS
N2HS_J2A	900	WBGene00016002	6691841	6691986	II	+	DOG	J2	HS
N2HS_J2A	800	WBGene00014115	9122398	9122524	I	+	DOG	J2	HS
N2HS_J2A	800	WBGene00200041	6748259	6749059	X	+	DOG	J2	HS
N2HS_J2A	800	WBGene00006797	5149226	5150026	I	+	DOG	J2	HS
N2HS_J2A	800	WBGene00006770	996207	997007	V	+	DOG	J2	HS
N2HS_J2A	800	WBGene00004110	6797470	6798270	I	+	DOG	J2	HS
N2HS_J2A	800	WBGene00199488	6227897	6228697	V	+	DOG	J2	HS
N2HS_J2A	700	WBGene00004920	2727545	2728245	I	+	DOG	J2	HS
N2HS_J2A	700	WBGene00013154	14993403	14994103	II	+	DOG	J2	HS
N2HS_J2A	700	WBGene00235373	4397925	4398625	IV	+	DOG	J2	HS
N2HS_J2A	700	WBGene00172925	14037630	14037789	IV	+	DOG	J2	HS
N2HS_J2A	600	WBGene00045201	13601725	13602202	IV	+	DOG	J2	HS
N2HS_J2A	600	WBGene00023180	2805698	2805839	IV	+	DOG	J2	HS
