sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2_J2_2	13400	WBGene00022951	16931619	16943323	X	+	DOG	J2	N2
N2_J2_2	8700	WBGene00004512	15063836	15064301	I	+	DOG	J2	N2
N2_J2_2	8000	WBGene00004567	15064453	15064838	I	+	DOG	J2	N2
N2_J2_2	1300	WBGene00220093	11484600	11484826	X	+	DOG	J2	N2
N2_J2_2	1000	WBGene00220094	11484924	11485924	X	+	DOG	J2	N2
N2_J2_2	900	WBGene00016458	10819963	10820863	I	+	DOG	J2	N2
N2_J2_2	800	WBGene00014115	9122398	9122524	I	+	DOG	J2	N2
N2_J2_2	800	WBGene00235373	4397925	4398725	IV	+	DOG	J2	N2
N2_J2_2	800	WBGene00019347	17008462	17009262	X	+	DOG	J2	N2
N2_J2_2	700	WBGene00004920	2727545	2728245	I	+	DOG	J2	N2
N2_J2_2	700	WBGene00043327	995371	996071	II	+	DOG	J2	N2
N2_J2_2	500	WBGene00022139	1883639	1884139	I	+	DOG	J2	N2
N2_J2_2	500	WBGene00014954	16928999	16929167	V	+	DOG	J2	N2
N2_J2_2	500	WBGene00220246	9122693	9123193	I	+	DOG	J2	N2
N2_J2_2	400	WBGene00009068	16223519	16223919	X	+	DOG	J2	N2
N2_J2_2	300	WBGene00017207	2065870	2066170	II	+	DOG	J2	N2
N2_J2_2	300	WBGene00197318	970170	970470	V	+	DOG	J2	N2
N2_J2_2	300	WBGene00004513	15071033	15071333	I	+	DOG	J2	N2
N2_J2_2	300	WBGene00015888	5566692	5566992	II	+	DOG	J2	N2
N2_J2_2	300	WBGene00021716	3492881	3493181	II	+	DOG	J2	N2
N2_J2_2	300	WBGene00001538	5319234	5319534	II	+	DOG	J2	N2
N2_J2_2	300	WBGene00016002	6691841	6691986	II	+	DOG	J2	N2
N2_J2_2	300	WBGene00016609	4254139	4254380	I	+	DOG	J2	N2
N2_J2_2	300	WBGene00220163	11238559	11238859	III	+	DOG	J2	N2
N2_J2_2	300	WBGene00012384	11070950	11071250	IV	+	DOG	J2	N2
N2_J2_2	300	WBGene00220042	4769440	4769740	IV	+	DOG	J2	N2
N2_J2_2	300	WBGene00012663	10854561	10854861	III	+	DOG	J2	N2
N2_J2_2	300	WBGene00007062	18060708	18061008	V	+	DOG	J2	N2
N2_J2_2	300	WBGene00015731	2422895	2423195	V	+	DOG	J2	N2
N2_J2_2	300	WBGene00044131	2531174	2531474	V	+	DOG	J2	N2
N2_J2_2	200	WBGene00194649	14783342	14783542	IV	+	DOG	J2	N2
N2_J2_2	200	WBGene00011418	12482426	12482626	IV	+	DOG	J2	N2
N2_J2_2	200	WBGene00016544	2155220	2155420	II	+	DOG	J2	N2
N2_J2_2	200	WBGene00007135	4340464	4340664	III	+	DOG	J2	N2
N2_J2_2	200	WBGene00013683	14546634	14546834	I	+	DOG	J2	N2
N2_J2_2	200	WBGene00007736	12474889	12475089	IV	+	DOG	J2	N2
N2_J2_2	200	WBGene00007481	14719670	14719870	II	+	DOG	J2	N2
N2_J2_2	200	WBGene00003229	134065	134265	I	+	DOG	J2	N2
N2_J2_2	200	WBGene00003638	15716444	15716644	X	+	DOG	J2	N2
N2_J2_2	200	WBGene00185002	9838311	9838511	III	+	DOG	J2	N2
N2_J2_2	200	WBGene00021405	23198	23398	IV	+	DOG	J2	N2
N2_J2_2	200	WBGene00011227	16185419	16185619	X	+	DOG	J2	N2
N2_J2_2	200	WBGene00164974	11440652	11440852	X	+	DOG	J2	N2
N2_J2_2	200	WBGene00008748	10694461	10694661	X	+	DOG	J2	N2
N2_J2_2	200	WBGene00001115	1490494	1490694	I	+	DOG	J2	N2
N2_J2_2	200	WBGene00009654	10518391	10518591	III	+	DOG	J2	N2
N2_J2_2	200	WBGene00004010	11136380	11136580	III	+	DOG	J2	N2
N2_J2_2	200	WBGene00013554	12232241	12232441	III	+	DOG	J2	N2
N2_J2_2	200	WBGene00017930	6040582	6040782	V	+	DOG	J2	N2
