DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_local:rRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_opposite_strand_meta:rRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:antisense	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_same_strand_meta:tRNA	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	baseMean	chr	end	gene_biotype_name	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	lfcSE	log2FoldChange	padj	pvalue	right_int_length	sample_name	source	start	stat	strand	type
1202146	1202146	0	False	False	300	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1201846	1201846	0	DOG	1464.28571428571	IV	1201846	protein_coding	WBGene00022427	0	0	0	['WBGene00202019']	0	0	0		0	0	0	0	0	0	['WBGene00196976']	0	0	0	0.0	0	0	0	0.0	8781	0.302559750566902	-1.1481547911480001	0.00501980192240274	0.00016233474675044198	14744.0	N2HS_J2B_sp	WormBase	1193065	14.223451759886999	+	gene
1497630	1497630	False	0	0	500	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1497130	1497130	False	POG	1709.0	IV	1509965	protein_coding	WBGene00022306	0	0	0	['WBGene00198503']	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	7868.0	12335	0.290415366076342	-1.19388268198455	0.00165235481308831	4.4403978124440995e-05	0.0	N2-J2-1__split	WormBase	1497630	16.6731964212019	+	gene
2531796	2531796	0	True	False	1500	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2530296	2530296	0	DOG	2208.85714285714	IV	2530296	protein_coding	WBGene00022087	0	0	0	0	0	['WBGene00022093']	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	32495	0.26478110458035503	-1.2285011107766899	0.00017328867477553502	4.099042437955671e-06	3404.0	N2HS_J2B_sp	WormBase	2497801	21.2179654424233	+	gene
4417225	4417225	0	True	False	19300	0	0	0	0	0	['WBGene00021283', 'WBGene00021284', 'WBGene00021285']	0		0	0	0	0	0	0	0	0	['WBGene00021283', 'WBGene00021284', 'WBGene00021285']	0		0	0	0	0.0	0.0	0.0	['WBGene00220137']	0	['WBGene00021281']	0	0.0	0.0	0.0	0	0	0	0	['WBGene00220137']	0	['WBGene00021281']	0	0	0	0	0	4397925	4397925	0	DOG	693.8571428571429	IV	4397925	ncRNA	WBGene00235373	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3515	0.315593153520212	-2.0521353239021	1.1507764452188202e-08	1.33658844696333e-10	24414.0	N2HS_J2B_sp	WormBase	4394410	41.2542802685484	+	gene
4769740	4769740	0	False	False	300	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	4769440	4769440	0	DOG	36.1428571428571	IV	4769440	ncRNA	WBGene00220042	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	96	0.9273351179137951	-2.85441939659662	0.0458854204217877	0.0021735749140815	2652.0	N2-J2-2__split	WormBase	4769344	9.39685905486724	+	gene
4149055	4149055	0	False	False	1800	0	0	0	0	0	['WBGene00007631']	0		0	0	0	0	0	0	0	0	['WBGene00007631']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	4147255	4147255	0	DOG	695.714285714286	III	4147255	protein_coding	WBGene00006830	0	0	0	['WBGene00200316', 'WBGene00199655', 'WBGene00201040', 'WBGene00201819']	0	0	0		0	0	0	0	0	0	['WBGene00219843']	0	0	0	0.0	0	0	0	0.0	32029	0.305132980251779	-2.06901884623973	2.3226038033297e-09	2.32736432125955e-11	4799.0	N2HS_J2B_s	WormBase	4115226	44.673923253895104	+	gene
6508132	6510017	0	False	True	2300	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	['WBGene00000044']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	['WBGene00017756']	0	0	0	0	0	6507717	6507717	0	DOG	247.57142857142898	III	6507717	protein_coding	WBGene00017751	0	0	0	['WBGene00197504']	0	0	0		0	0	0	0	0	0	['WBGene00197506']	0	0	0	0.0	0	0	0	0.0	7203	0.413372755311878	-1.31076940264625	0.0362146090220149	0.00160000777733339	415.0	N2HS_J2B_s	WormBase	6500514	9.95973851567766	+	gene
7020174	7020174	0	False	False	600	0	0	0	0	0	['WBGene00000597']	0		0	0	0	0	0	0	0	0	['WBGene00000597']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	7019574	7019574	0	DOG	60.571428571428605	III	7019574	protein_coding	WBGene00017389	0	0	0	0	0	0	0		0	0	0	0	0	0	['WBGene00198750']	0	0	0	0.0	0	0	0	0.0	10438	0.6691894499722111	-2.36325369278243	0.0135707918924861	0.000469770067788176	1265.0	N2HS_J2B_s	WormBase	7009136	12.2319924125142	+	gene
8792545	8792545	0	False	False	300	0	0	0	0	0	['WBGene00018833']	0		0	0	0	0	0	0	0	0	['WBGene00018833']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	8792245	8792245	0	DOG	225.42857142857102	III	8792245	protein_coding	WBGene00269391	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	666	0.533401785496255	-4.19517989581511	5.764028012343609e-13	3.15949815507414e-15	602.0	N2WT_INP_split	WormBase	8791579	62.1643900914363	+	gene
10288821	10288821	0	False	False	200	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	10288621	10288621	0	DOG	79.1428571428571	III	10288621	protein_coding	WBGene00010756	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2698	0.608120355506786	-2.6984993191753297	0.000437319459360543	1.1453367758247e-05	6516.0	N2HS_J2B_s	WormBase	10285923	19.252277301020698	+	gene
