sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2HS_J2B	14000	WBGene00022951	16931619	16943323	X	+	DOG	J2	HS
N2HS_J2B	11400	WBGene00004677	15061150	15062083	I	+	DOG	J2	HS
N2HS_J2B	10000	WBGene00012618	20509508	20513736	V	+	DOG	J2	HS
N2HS_J2B	8600	WBGene00004512	15063836	15064301	I	+	DOG	J2	HS
N2HS_J2B	7900	WBGene00004567	15064453	15064838	I	+	DOG	J2	HS
N2HS_J2B	7900	WBGene00002019	9088617	9090077	V	+	DOG	J2	HS
N2HS_J2B	3400	WBGene00196816	9091627	9092345	V	+	DOG	J2	HS
N2HS_J2B	3400	WBGene00012498	11610910	11614310	IV	+	DOG	J2	HS
N2HS_J2B	3400	WBGene00021599	1809468	1812868	V	+	DOG	J2	HS
N2HS_J2B	3400	WBGene00016637	1105086	1107396	IV	+	DOG	J2	HS
N2HS_J2B	3100	WBGene00004622	15068346	15069280	I	+	DOG	J2	HS
N2HS_J2B	2300	WBGene00001910	9546838	9547083	V	+	DOG	J2	HS
N2HS_J2B	2100	WBGene00044726	14992667	14992898	II	+	DOG	J2	HS
N2HS_J2B	1500	WBGene00219590	8820154	8821654	II	+	DOG	J2	HS
N2HS_J2B	1400	WBGene00012384	11070950	11072350	IV	+	DOG	J2	HS
N2HS_J2B	1300	WBGene00013154	14993403	14994197	II	+	DOG	J2	HS
N2HS_J2B	1000	WBGene00002017	9090604	9090876	V	+	DOG	J2	HS
N2HS_J2B	900	WBGene00012621	20515706	20516606	V	+	DOG	J2	HS
N2HS_J2B	800	WBGene00014115	9122398	9122524	I	+	DOG	J2	HS
N2HS_J2B	700	WBGene00017964	6278160	6278355	V	+	DOG	J2	HS
N2HS_J2B	600	WBGene00003544	8828215	8828815	II	+	DOG	J2	HS
N2HS_J2B	600	WBGene00220000	6835631	6836231	I	+	DOG	J2	HS
N2HS_J2B	600	WBGene00007481	14719670	14720270	II	+	DOG	J2	HS
N2HS_J2B	600	WBGene00009180	14407905	14408505	II	+	DOG	J2	HS
N2HS_J2B	500	WBGene00165826	6278375	6278875	V	+	DOG	J2	HS
N2HS_J2B	400	WBGene00044923	9091039	9091439	V	+	DOG	J2	HS
N2HS_J2B	400	WBGene00012158	12021212	12021612	X	+	DOG	J2	HS
N2HS_J2B	400	WBGene00220246	9122693	9123093	I	+	DOG	J2	HS
N2HS_J2B	400	WBGene00007479	14712800	14713200	II	+	DOG	J2	HS
N2HS_J2B	400	WBGene00001898	14491115	14491515	X	+	DOG	J2	HS
N2HS_J2B	300	WBGene00015731	2422895	2423195	V	+	DOG	J2	HS
N2HS_J2B	300	WBGene00219916	17278502	17278802	IV	+	DOG	J2	HS
N2HS_J2B	300	WBGene00007062	18060708	18061008	V	+	DOG	J2	HS
N2HS_J2B	300	WBGene00044131	2531174	2531474	V	+	DOG	J2	HS
N2HS_J2B	300	WBGene00195155	13853727	13854027	I	+	DOG	J2	HS
N2HS_J2B	300	WBGene00014126	11584859	11585159	I	+	DOG	J2	HS
N2HS_J2B	300	WBGene00001922	11325222	11325522	IV	+	DOG	J2	HS
N2HS_J2B	300	WBGene00077466	17117981	17118154	V	+	DOG	J2	HS
N2HS_J2B	300	WBGene00220163	11238559	11238859	III	+	DOG	J2	HS
N2HS_J2B	300	WBGene00012663	10854561	10854861	III	+	DOG	J2	HS
N2HS_J2B	300	WBGene00004513	15071033	15071333	I	+	DOG	J2	HS
N2HS_J2B	300	WBGene00016002	6691841	6691986	II	+	DOG	J2	HS
N2HS_J2B	300	WBGene00001889	13818739	13819039	II	+	DOG	J2	HS
N2HS_J2B	300	WBGene00199753	7923057	7923357	V	+	DOG	J2	HS
N2HS_J2B	300	WBGene00001875	16043013	16043313	V	+	DOG	J2	HS
N2HS_J2B	200	WBGene00008144	14691861	14692061	V	+	DOG	J2	HS
N2HS_J2B	200	WBGene00044180	14688959	14689154	V	+	DOG	J2	HS
N2HS_J2B	200	WBGene00009527	12661247	12661447	X	+	DOG	J2	HS
N2HS_J2B	200	WBGene00001901	8890448	8890648	V	+	DOG	J2	HS
N2HS_J2B	200	WBGene00007736	12474889	12475089	IV	+	DOG	J2	HS
N2HS_J2B	200	WBGene00001923	8848353	8848553	V	+	DOG	J2	HS
N2HS_J2B	200	WBGene00007135	4340464	4340664	III	+	DOG	J2	HS
N2HS_J2B	200	WBGene00009654	10518391	10518591	III	+	DOG	J2	HS
N2HS_J2B	200	WBGene00004010	11136380	11136580	III	+	DOG	J2	HS
N2HS_J2B	200	WBGene00003332	11792542	11792742	X	+	DOG	J2	HS
N2HS_J2B	200	WBGene00011418	12482426	12482626	IV	+	DOG	J2	HS
N2HS_J2B	200	WBGene00015228	10653043	10653243	I	+	DOG	J2	HS
N2HS_J2B	200	WBGene00047916	14035221	14035421	IV	+	DOG	J2	HS
N2HS_J2B	200	WBGene00012840	19612099	19612299	V	+	DOG	J2	HS
N2HS_J2B	200	WBGene00017287	5347013	5347213	II	+	DOG	J2	HS
N2HS_J2B	200	WBGene00196827	5544291	5544491	II	+	DOG	J2	HS
N2HS_J2B	200	WBGene00016115	5665243	5665408	II	+	DOG	J2	HS
N2HS_J2B	200	WBGene00014309	8789716	8789916	II	+	DOG	J2	HS
N2HS_J2B	200	WBGene00013427	11609082	11609282	III	+	DOG	J2	HS
N2HS_J2B	200	WBGene00022745	4147662	4147862	X	+	DOG	J2	HS
N2HS_J2B	200	WBGene00000793	11693837	11694037	III	+	DOG	J2	HS
