DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_local:rRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_opposite_strand_meta:rRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:antisense	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_same_strand_meta:tRNA	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	sample_name	source	start	strand	type
8868036	8868036	0	True	True	143800	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00172710', 'WBGene00168821']	['WBGene00009014', 'WBGene00009006', 'WBGene00009007', 'WBGene00009008', 'WBGene00009009', 'WBGene00004051', 'WBGene00008969', 'WBGene00012118', 'WBGene00045183', 'WBGene00012119', 'WBGene00012120', 'WBGene00000594', 'WBGene00012121', 'WBGene00011706', 'WBGene00000692', 'WBGene00001132']	['WBGene00044914']	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	['WBGene00219453']	0	['WBGene00219908']	['WBGene00173055', 'WBGene00168777', 'WBGene00172426']	['WBGene00009010', 'WBGene00009013', 'WBGene00009011', 'WBGene00009012', 'WBGene00008972', 'WBGene00008968', 'WBGene00002222', 'WBGene00008970', 'WBGene00008971', 'WBGene00007900', 'WBGene00194651', 'WBGene00007901', 'WBGene00044239', 'WBGene00005698', 'WBGene00007898', 'WBGene00007897', 'WBGene00001366', 'WBGene00000691', 'WBGene00012122', 'WBGene00206515', 'WBGene00011707', 'WBGene00011708', 'WBGene00007492']	['WBGene00007902', 'WBGene00007899']	0	0	0	8865483	8865483	0	DOG	IV	.	.	8869679	protein_coding	gene_id "WBGene00007493"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007493	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2553.0	1643	0.0	N2HS_J2B_sp	WormBase	8868036	-	gene
8865351	8865351	0	True	True	119900	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00199663', 'WBGene00195328', 'WBGene00196436', 'WBGene00197279', 'WBGene00200596', 'WBGene00197765', 'WBGene00201855', 'WBGene00199453', 'WBGene00196212', 'WBGene00196999']	0	['WBGene00015223', 'WBGene00202499', 'WBGene00015222', 'WBGene00015221', 'WBGene00015220', 'WBGene00006006', 'WBGene00015219', 'WBGene00015218', 'WBGene00006342', 'WBGene00021107', 'WBGene00021106', 'WBGene00017188', 'WBGene00001923', 'WBGene00001926', 'WBGene00001927']	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	['WBGene00219644']	0	['WBGene00195358', 'WBGene00200053', 'WBGene00198056']	['WBGene00172570']	['WBGene00015224', 'WBGene00015227', 'WBGene00015225', 'WBGene00015226', 'WBGene00015275', 'WBGene00006467', 'WBGene00015276', 'WBGene00004457', 'WBGene00015277', 'WBGene00021108', 'WBGene00017189', 'WBGene00001924', 'WBGene00001925', 'WBGene00001928', 'WBGene00017190', 'WBGene00017191']	['WBGene00235307']	0	0	0	8864652	8864652	0	DOG	V	.	.	8867297	protein_coding	gene_id "WBGene00017192"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017192	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	699.0	1946	0.0	N2HS_J2B_spl	WormBase	8865351	-	gene
8865270	8865270	0	True	True	119700	0.0	0	0	['WBGene00198964']	0	0	['WBGene00004041']	0	0	0	0	['WBGene00219701']	0	0	['WBGene00197351', 'WBGene00199552', 'WBGene00198964']	0	['WBGene00004856', 'WBGene00019800', 'WBGene00019301', 'WBGene00019305', 'WBGene00219329', 'WBGene00269391', 'WBGene00006975', 'WBGene00003929']	['WBGene00004041']	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	['WBGene00195778', 'WBGene00196376', 'WBGene00219968', 'WBGene00219948']	['WBGene00165303']	['WBGene00022721', 'WBGene00022722', 'WBGene00019801', 'WBGene00003253', 'WBGene00019302', 'WBGene00019303', 'WBGene00019304', 'WBGene00018833', 'WBGene00018834', 'WBGene00018835', 'WBGene00004201', 'WBGene00018836', 'WBGene00018417', 'WBGene00018423', 'WBGene00018418', 'WBGene00018419', 'WBGene00018420', 'WBGene00018421', 'WBGene00018422']	0	0	0	0	8850532	8850532	0	DOG	III	.	.	8865367	miRNA	gene_id "WBGene00003308"; gene_source "WormBase"; gene_biotype "miRNA";	WBGene00003308	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	14738.0	97	0.0	N2HS_J2B_s	WormBase	8865270	-	gene
6214268	6214268	0	False	True	111400	0.0	0	0	0	0	['WBGene00016760', 'WBGene00016759']	0	0	0	0	0	0	0	0	['WBGene00199126', 'WBGene00200103', 'WBGene00196539', 'WBGene00201142', 'WBGene00202184', 'WBGene00196792']	['WBGene00168175', 'WBGene00171009', 'WBGene00048970', 'WBGene00174382', 'WBGene00049086', 'WBGene00170750', 'WBGene00171185', 'WBGene00174528', 'WBGene00050796', 'WBGene00045732', 'WBGene00171550', 'WBGene00169049', 'WBGene00049881', 'WBGene00049584', 'WBGene00167922', 'WBGene00172922', 'WBGene00167261', 'WBGene00047394', 'WBGene00048413', 'WBGene00173950', 'WBGene00047685', 'WBGene00170579', 'WBGene00049490', 'WBGene00048075', 'WBGene00165620', 'WBGene00170123', 'WBGene00171243', 'WBGene00172206', 'WBGene00166040', 'WBGene00168857', 'WBGene00174020', 'WBGene00167146', 'WBGene00174634', 'WBGene00168458', 'WBGene00170017', 'WBGene00171744', 'WBGene00173506', 'WBGene00049995', 'WBGene00172244', 'WBGene00165760', 'WBGene00166678', 'WBGene00050558', 'WBGene00165716', 'WBGene00166951', 'WBGene00046651', 'WBGene00049242', 'WBGene00171539', 'WBGene00047278', 'WBGene00047448', 'WBGene00175016', 'WBGene00174928', 'WBGene00166930', 'WBGene00168735', 'WBGene00174614', 'WBGene00166025', 'WBGene00171586', 'WBGene00048846', 'WBGene00168875', 'WBGene00165191', 'WBGene00048873', 'WBGene00050718', 'WBGene00173937', 'WBGene00048407', 'WBGene00166869', 'WBGene00167259', 'WBGene00047173', 'WBGene00049902', 'WBGene00173251', 'WBGene00166136', 'WBGene00045688', 'WBGene00172753', 'WBGene00172795', 'WBGene00173131', 'WBGene00049265', 'WBGene00167962', 'WBGene00046257', 'WBGene00046262', 'WBGene00169556', 'WBGene00046170', 'WBGene00167651', 'WBGene00045544', 'WBGene00173952', 'WBGene00166623', 'WBGene00166317', 'WBGene00169468', 'WBGene00047079', 'WBGene00173904', 'WBGene00049127', 'WBGene00165892', 'WBGene00048299', 'WBGene00166861', 'WBGene00173501', 'WBGene00046267', 'WBGene00174655', 'WBGene00167821', 'WBGene00046951', 'WBGene00173140', 'WBGene00174313', 'WBGene00171494', 'WBGene00047630', 'WBGene00166008', 'WBGene00169677', 'WBGene00047672', 'WBGene00049398', 'WBGene00170935', 'WBGene00174973', 'WBGene00172443', 'WBGene00174799']	['WBGene00002245', 'WBGene00006974', 'WBGene00015701', 'WBGene00015700', 'WBGene00016761', 'WBGene00016760', 'WBGene00016759']	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	['WBGene00255586']	['WBGene00202422', 'WBGene00201766', 'WBGene00195493', 'WBGene00195288', 'WBGene00200785']	['WBGene00171652', 'WBGene00167680', 'WBGene00170433', 'WBGene00165707', 'WBGene00049070', 'WBGene00166480', 'WBGene00168866', 'WBGene00169257', 'WBGene00170185', 'WBGene00174350', 'WBGene00048080', 'WBGene00047687', 'WBGene00167815', 'WBGene00047949', 'WBGene00049926', 'WBGene00171451', 'WBGene00046608', 'WBGene00050511', 'WBGene00169284', 'WBGene00165705', 'WBGene00047382', 'WBGene00166934', 'WBGene00049985', 'WBGene00045928', 'WBGene00169838', 'WBGene00169402', 'WBGene00165240', 'WBGene00174135', 'WBGene00169857', 'WBGene00173353', 'WBGene00173751', 'WBGene00166267', 'WBGene00165505', 'WBGene00171853', 'WBGene00165534', 'WBGene00166258', 'WBGene00165516', 'WBGene00172103', 'WBGene00170594', 'WBGene00045877', 'WBGene00171396', 'WBGene00174308', 'WBGene00046897', 'WBGene00165476', 'WBGene00046736', 'WBGene00165181', 'WBGene00174844', 'WBGene00169861', 'WBGene00047616', 'WBGene00048808', 'WBGene00174431', 'WBGene00169305', 'WBGene00047188', 'WBGene00046030', 'WBGene00173128', 'WBGene00174749', 'WBGene00046077', 'WBGene00046405', 'WBGene00172263', 'WBGene00050588', 'WBGene00166737', 'WBGene00170679', 'WBGene00046250', 'WBGene00172163', 'WBGene00049895', 'WBGene00171219', 'WBGene00171383', 'WBGene00172334', 'WBGene00165738', 'WBGene00047936', 'WBGene00172985', 'WBGene00173152', 'WBGene00165550', 'WBGene00167952', 'WBGene00174063', 'WBGene00166469', 'WBGene00166291', 'WBGene00172339', 'WBGene00167355', 'WBGene00166266', 'WBGene00173998', 'WBGene00172734']	['WBGene00019750', 'WBGene00019751', 'WBGene00015703', 'WBGene00015702', 'WBGene00006809', 'WBGene00016764', 'WBGene00016762']	['WBGene00023326', 'WBGene00019176']	0	['WBGene00220029']	0	6209996	6209996	0	DOG	IV	.	.	6214288	piRNA	gene_id "WBGene00166033"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00166033	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272.0	20	0.0	N2HS_J2B_sp	WormBase	6214268	-	gene
6213716	6213716	0	True	True	110200	0.0	0	0	0	0	['WBGene00021066', 'WBGene00004373']	0	0	0	0	0	0	0	0	['WBGene00198143', 'WBGene00198766', 'WBGene00197477', 'WBGene00198162', 'WBGene00196588']	['WBGene00173333']	['WBGene00017535', 'WBGene00017534', 'WBGene00001374', 'WBGene00021066', 'WBGene00004373']	['WBGene00017533']	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	['WBGene00201125', 'WBGene00200249', 'WBGene00197882', 'WBGene00195543']	0	['WBGene00017536', 'WBGene00017537', 'WBGene00017538', 'WBGene00006436', 'WBGene00021067']	0	0	0	0	6206134	6206134	0	DOG	V	.	.	6213931	ncRNA	gene_id "WBGene00201372"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201372	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7582.0	215	0.0	N2HS_J2B_spl	WormBase	6213716	-	gene
6213112	6213112	0	False	True	109000	0.0	0	0	0	0	['WBGene00004472', 'WBGene00016011', 'WBGene00016010']	0	0	0	0	0	0	0	0	0	['WBGene00174966']	['WBGene00002201', 'WBGene00021533', 'WBGene00021532', 'WBGene00021531', 'WBGene00003593', 'WBGene00023489', 'WBGene00018339', 'WBGene00016012', 'WBGene00004459', 'WBGene00004472', 'WBGene00016011', 'WBGene00016010']	0	0	0	0	['WBGene00023044', 'WBGene00023045']	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	['WBGene00255564']	['WBGene00197719', 'WBGene00196973', 'WBGene00195930']	['WBGene00165991']	['WBGene00020549', 'WBGene00021534', 'WBGene00021535', 'WBGene00018340', 'WBGene00001160', 'WBGene00018341', 'WBGene00018342', 'WBGene00018343', 'WBGene00003546', 'WBGene00016013', 'WBGene00016014', 'WBGene00016015']	0	0	['WBGene00219827']	0	6206211	6206211	0	DOG	III	.	.	6213923	protein_coding	gene_id "WBGene00016016"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016016	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6901.0	811	0.0	N2HS_J2B_s	WormBase	6213112	-	gene
7927593	7927593	0	True	True	106300	0.0	0	0	['WBGene00199753']	0	['WBGene00022406', 'WBGene00022405']	0	0	0	0	0	0	0	0	['WBGene00219851', 'WBGene00199753']	0	['WBGene00002256', 'WBGene00003242', 'WBGene00001697', 'WBGene00016497', 'WBGene00016496', 'WBGene00016495', 'WBGene00018219', 'WBGene00018218', 'WBGene00018217', 'WBGene00018216', 'WBGene00022406', 'WBGene00022405']	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	['WBGene00219659']	0	0	0	['WBGene00166948', 'WBGene00168741', 'WBGene00172604']	['WBGene00016499', 'WBGene00016505', 'WBGene00016504', 'WBGene00016500', 'WBGene00016501', 'WBGene00235308', 'WBGene00016502', 'WBGene00016503', 'WBGene00077712', 'WBGene00018221', 'WBGene00018222']	['WBGene00005902']	0	0	0	7915728	7915728	0	DOG	V	.	.	7927613	piRNA	gene_id "WBGene00169657"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00169657	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11865.0	20	0.0	N2HS_J2B_spl	WormBase	7927593	-	gene
8863996	8863996	0	True	True	102200	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00199648', 'WBGene00200441', 'WBGene00201188', 'WBGene00199362', 'WBGene00197140']	0	['WBGene00003052', 'WBGene00006618', 'WBGene00006324', 'WBGene00009453', 'WBGene00009455', 'WBGene00009454', 'WBGene00009456', 'WBGene00009458', 'WBGene00009250', 'WBGene00009251']	['WBGene00014727']	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	['WBGene00202469']	0	['WBGene00001960', 'WBGene00004115', 'WBGene00008439', 'WBGene00009452', 'WBGene00009451', 'WBGene00006682', 'WBGene00004484', 'WBGene00009457', 'WBGene00023490', 'WBGene00009459', 'WBGene00009460', 'WBGene00009252', 'WBGene00002035', 'WBGene00010137']	0	0	0	['WBGene00014301']	8861274	8861274	0	DOG	I	.	.	8865475	protein_coding	gene_id "WBGene00219283"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00219283	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2722.0	1479	0.0	N2HS_J2B_spl	WormBase	8863996	-	gene
8863960	8863960	0	False	True	102100	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00199663', 'WBGene00195328', 'WBGene00196436', 'WBGene00197279', 'WBGene00200596', 'WBGene00197765', 'WBGene00201855', 'WBGene00199453', 'WBGene00196212']	0	['WBGene00015220', 'WBGene00006006', 'WBGene00015219', 'WBGene00015218', 'WBGene00006342', 'WBGene00021107', 'WBGene00021106', 'WBGene00017188', 'WBGene00001923', 'WBGene00001926', 'WBGene00001927']	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	['WBGene00219644']	0	['WBGene00195358', 'WBGene00200053', 'WBGene00198056']	0	['WBGene00015225', 'WBGene00015226', 'WBGene00015275', 'WBGene00006467', 'WBGene00015276', 'WBGene00004457', 'WBGene00015277', 'WBGene00021108', 'WBGene00017189', 'WBGene00001924', 'WBGene00001925', 'WBGene00001928', 'WBGene00017190']	0	0	0	0	8862049	8862049	0	DOG	V	.	.	8864652	protein_coding	gene_id "WBGene00017191"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017191	0	0	0	0	['WBGene00196999']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1911.0	692	0.0	N2HS_J2B_spl	WormBase	8863960	-	gene
6211986	6211986	0	False	True	98100	0.0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00219253']	['WBGene00201901', 'WBGene00198554', 'WBGene00196099', 'WBGene00200521', 'WBGene00195926', 'WBGene00200634']	0	['WBGene00020839', 'WBGene00020838', 'WBGene00003878', 'WBGene00018981', 'WBGene00018980', 'WBGene00018979', 'WBGene00050896', 'WBGene00018978', 'WBGene00045498', 'WBGene00020379', 'WBGene00020378', 'WBGene00020377', 'WBGene00020376', 'WBGene00020375', 'WBGene00020259', 'WBGene00000632', 'WBGene00020258']	0	['WBGene00235197']	0	0	['WBGene00023072', 'WBGene00023073', 'WBGene00023135']	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	['WBGene00219705']	0	['WBGene00003328', 'WBGene00003260']	['WBGene00199008', 'WBGene00199766', 'WBGene00201096', 'WBGene00220064', 'WBGene00197549']	['WBGene00169979']	['WBGene00018982', 'WBGene00020380', 'WBGene00020381', 'WBGene00020382', 'WBGene00020383', 'WBGene00000500', 'WBGene00020260', 'WBGene00020261', 'WBGene00020347', 'WBGene00020348']	0	0	['WBGene00220065']	['WBGene00023136']	6211885	6211885	0	DOG	I	.	.	6214645	protein_coding	gene_id "WBGene00001497"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001497	0	0	0	0	['WBGene00197441']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	['WBGene00023344']	0	['WBGene00044935']	0	101.0	2659	0.0	N2HS_J2B_spl	WormBase	6211986	-	gene
