GeneID	Length	BAMS.N2WT_INP_.bam	BAMS.OK803.INP__.bam	BAMS.N2.J2.1_.bam	BAMS.N2.J2.2_.bam	BAMS.N2.J2.3_.bam	BAMS.OK803.J2.1_.bam	BAMS.OK803.J2.2_.bam	BAMS.OK803.J2.3_.bam
WBGene00014450	55	27	0	4	4	2	0	0	0
WBGene00014451	54	49	19	7	4	10	7	4	6
WBGene00010957	437	2246	8949	567	357	480	1125	1028	656
WBGene00010958	235	1460	3930	145	101	146	190	244	161
WBGene00014452	56	31	53	1	3	3	7	3	4
WBGene00014453	55	468	785	34	33	20	54	25	40
WBGene00014454	696	1407383	1854430	100478	83933	90864	204754	136473	111454
WBGene00014455	52	17	2	2	2	4	0	0	0
WBGene00014456	55	5	2	1	4	10	2	0	0
WBGene00014457	55	662	1479	321	235	211	268	175	162
WBGene00010959	873	9944	15718	5329	4326	4334	4077	3284	2511
WBGene00010960	602	7260	15051	3787	3148	2852	3430	2676	2385
WBGene00014458	62	55	28	3	5	12	2	6	0
WBGene00014459	54	47	3	32	19	43	1	1	0
WBGene00014460	55	46	14	9	17	8	9	7	5
WBGene00010961	881	2990	11446	2092	1510	1955	1844	1736	1362
WBGene00014461	60	1121	14	242	281	198	1	0	0
WBGene00014462	54	6	3	5	1	11	1	0	0
WBGene00014463	54	3	7	4	1	5	1	0	0
WBGene00014464	56	72	18	13	8	14	0	0	0
WBGene00000829	1118	24593	36839	10754	9725	9129	7397	6097	4436
WBGene00014465	56	21	65	7	8	12	10	3	5
WBGene00010962	772	22854	30793	7479	6867	5815	7106	5749	4539
WBGene00014466	55	78	151	46	52	40	33	34	25
WBGene00010963	1303	11679	20102	5646	4609	4877	4170	3593	2865
WBGene00010964	1602	33091	84447	17345	12495	15028	17044	12956	9204
WBGene00014467	55	42	48	4	2	3	2	1	0
WBGene00014468	59	50	26	5	2	4	1	0	0
WBGene00014469	54	1	1	1	0	4	0	0	0
WBGene00014470	55	55	26	15	3	21	6	2	1
WBGene00010965	700	17772	28076	4440	3286	3522	4367	3257	2384
WBGene00014471	54	165	178	31	34	41	9	15	10
WBGene00014472	952	418440	591089	55201	47829	46696	95857	67279	51496
WBGene00010966	336	1248	4325	282	159	227	375	325	230
WBGene00010967	1582	18935	39361	7970	5963	6681	7361	5832	4512
WBGene00014473	53	37	75	25	17	38	11	8	4
WBGene00021406	4059	794	974	516	453	380	286	230	153
WBGene00021407	786	33	30	4	8	4	3	1	0
WBGene00021408	2373	47	58	35	39	40	16	23	13
WBGene00021405	720	27	24	59	61	45	30	38	16
WBGene00021409	720	27	24	59	61	45	30	38	16
WBGene00021404	2373	47	58	35	41	40	16	23	13
WBGene00001492	5206	996	1285	598	514	476	359	277	187
WBGene00021403	786	33	30	4	8	4	3	1	0
WBGene00195502	150	0	1	1	0	0	0	0	0
WBGene00235257	174	3	3	0	0	0	0	1	0
WBGene00235258	156	0	0	0	0	0	0	0	0
WBGene00166500	21	0	0	1	0	1	0	0	0
WBGene00235260	117	4	4	3	3	4	0	1	0
WBGene00235259	271	7	10	8	2	2	7	2	6
WBGene00023131	71	4784	0	43	34	25	0	0	0
WBGene00235261	162	9	4	2	4	2	2	0	1
WBGene00235262	105	0	0	3	0	2	0	0	1
WBGene00201447	52	1	4	3	5	3	0	0	0
WBGene00015246	1058	25	8	8	7	5	1	1	3
WBGene00006599	2890	478	567	230	206	202	146	145	81
WBGene00015247	900	51	59	17	20	3	18	6	7
WBGene00017927	250	0	2	0	2	1	0	3	1
WBGene00001111	1865	2	7	8	1	5	1	1	0
WBGene00023277	2820	12	7	1	7	10	5	2	2
WBGene00017928	1265	488	559	174	164	138	133	98	91
WBGene00017929	2004	716	984	378	289	295	274	172	132
WBGene00196821	129	0	0	0	0	0	0	0	0
WBGene00017926	400	817	508	194	180	187	162	121	94
WBGene00000897	2500	418	563	278	218	231	194	130	93
WBGene00000674	2588	127	143	47	47	40	36	21	18
WBGene00198932	127	0	0	6	5	4	5	2	1
WBGene00202431	95	1	2	1	2	0	1	1	0
WBGene00023019	73	46	0	0	3	5	0	0	0
WBGene00197291	117	0	0	0	0	0	0	0	0
WBGene00198551	70	1	0	0	0	0	0	0	0
WBGene00199863	70	0	0	0	0	0	0	0	0
WBGene00021400	604	26	27	4	1	5	6	2	3
WBGene00021398	600	163	67	65	76	78	33	14	15
WBGene00219750	450	1	0	0	0	0	0	0	0
WBGene00021397	1243	37	45	23	11	22	14	5	15
WBGene00021396	2022	55	70	45	38	39	30	23	11
WBGene00198224	141	0	0	0	1	0	0	0	0
WBGene00006561	1731	167	209	146	136	128	118	72	66
WBGene00021395	1257	328	358	121	90	109	106	64	39
WBGene00196851	88	0	0	1	1	0	0	1	0
WBGene00021402	1819	411	471	340	269	286	212	159	85
WBGene00000815	1684	1204	1483	576	514	423	288	255	179
WBGene00044736	849	64	92	72	55	71	57	56	36
WBGene00195063	541	272	237	103	105	73	75	56	51
WBGene00021394	2069	595	879	290	246	242	255	204	122
WBGene00021401	797	140	231	50	39	39	27	29	11
WBGene00019821	1641	669	779	235	214	187	204	147	101
WBGene00019822	2472	975	1192	395	363	355	302	229	162
WBGene00019823	1367	557	520	181	154	119	110	89	65
WBGene00019820	2595	1067	1307	484	411	340	331	231	165
WBGene00019819	3149	1500	1692	378	306	325	350	254	174
WBGene00001728	494	0	1	1	0	0	0	0	0
WBGene00019824	1567	894	1170	510	436	443	381	277	185
WBGene00019825	902	379	407	96	97	99	86	74	47
WBGene00001071	1068	25	16	11	18	8	5	7	7
WBGene00020647	1076	740	798	252	218	198	178	133	102
WBGene00003932	1259	272	323	112	85	90	97	64	48
WBGene00020651	606	213	99	23	21	23	9	13	2
WBGene00020650	2130	8	3	4	3	1	2	2	1
WBGene00005487	807	2	5	6	5	7	2	0	5
WBGene00003362	94	0	0	0	0	2	0	0	0
WBGene00020649	2891	639	841	595	508	529	387	255	172
WBGene00206487	1893	135	127	49	54	40	39	44	20
WBGene00045177	411	4	2	0	1	1	1	0	0
WBGene00020648	2017	11	17	6	5	5	9	4	4
WBGene00019298	1182	1113	902	341	296	226	227	173	140
WBGene00019300	1233	139	144	32	34	39	31	29	28
WBGene00019299	622	10	2	0	1	1	3	0	0
WBGene00198707	102	4	0	0	0	0	0	0	0
WBGene00001099	2877	737	890	355	371	293	382	271	188
WBGene00001735	704	23	6	2	7	1	0	0	1
WBGene00200120	89	0	0	0	0	0	0	0	0
WBGene00023092	72	21	5	0	0	0	0	0	0
WBGene00017578	1965	154	144	56	54	39	30	26	25
WBGene00000675	1106	2385	2548	1142	1192	910	1045	684	477
WBGene00017577	1860	3	7	2	5	0	0	3	0
WBGene00017574	731	113	110	38	34	44	24	17	20
WBGene00017576	5328	84	93	55	66	58	35	31	16
WBGene00197593	58	0	0	0	0	0	0	0	0
WBGene00022048	8104	12991	14485	6705	5846	5538	4319	3097	2493
