sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2HS_J2A	19500	WBGene00197215	10043561	10048167	V	-	DOG	J2	HS
N2HS_J2A	15900	WBGene00219343	18723771	18724748	V	-	DOG	J2	HS
N2HS_J2A	14300	WBGene00009588	11592240	11592351	IV	-	DOG	J2	HS
N2HS_J2A	13400	WBGene00197228	10041776	10043437	V	-	DOG	J2	HS
N2HS_J2A	11500	WBGene00001784	9850146	9861646	X	-	DOG	J2	HS
N2HS_J2A	11400	WBGene00195813	15068355	15070431	I	-	DOG	J2	HS
N2HS_J2A	11200	WBGene00198348	10040022	10041652	V	-	DOG	J2	HS
N2HS_J2A	11200	WBGene00011231	7860105	7862736	I	-	DOG	J2	HS
N2HS_J2A	11200	WBGene00013172	15136401	15140476	II	-	DOG	J2	HS
N2HS_J2A	10900	WBGene00012813	19517321	19519925	V	-	DOG	J2	HS
N2HS_J2A	10800	WBGene00002020	9087782	9089280	V	-	DOG	J2	HS
N2HS_J2A	10600	WBGene00003331	8865367	8867328	III	-	DOG	J2	HS
N2HS_J2A	10000	WBGene00010989	10922974	10932741	II	-	DOG	J2	HS
N2HS_J2A	8800	WBGene00022092	2485713	2494513	IV	-	DOG	J2	HS
N2HS_J2A	8300	WBGene00196396	15063383	15067668	I	-	DOG	J2	HS
N2HS_J2A	8000	WBGene00003308	8857270	8865270	III	-	DOG	J2	HS
N2HS_J2A	7600	WBGene00002015	9087021	9087293	V	-	DOG	J2	HS
N2HS_J2A	7600	WBGene00200892	19513656	19517172	V	-	DOG	J2	HS
N2HS_J2A	7100	WBGene00194993	9082860	9086858	V	-	DOG	J2	HS
N2HS_J2A	6700	WBGene00220041	7859417	7859940	I	-	DOG	J2	HS
N2HS_J2A	6300	WBGene00010877	8475568	8478010	II	-	DOG	J2	HS
N2HS_J2A	5600	WBGene00012456	18710475	18716075	V	-	DOG	J2	HS
N2HS_J2A	5600	WBGene00008944	20157049	20162649	V	-	DOG	J2	HS
N2HS_J2A	5000	WBGene00197545	15134424	15136253	II	-	DOG	J2	HS
N2HS_J2A	3200	WBGene00198814	15061159	15063050	I	-	DOG	J2	HS
N2HS_J2A	2300	WBGene00045366	18719944	18720589	V	-	DOG	J2	HS
N2HS_J2A	2100	WBGene00000883	15186300	15186582	V	-	DOG	J2	HS
N2HS_J2A	2100	WBGene00195666	11791399	11791610	X	-	DOG	J2	HS
N2HS_J2A	2000	WBGene00017565	7431401	7433401	V	-	DOG	J2	HS
N2HS_J2A	2000	WBGene00220237	11639913	11641913	II	-	DOG	J2	HS
N2HS_J2A	1900	WBGene00011544	10034487	10035746	V	-	DOG	J2	HS
N2HS_J2A	1900	WBGene00021098	581554	582111	II	-	DOG	J2	HS
N2HS_J2A	1900	WBGene00015485	6421885	6422459	III	-	DOG	J2	HS
N2HS_J2A	1800	WBGene00003344	11768117	11769917	V	-	DOG	J2	HS
N2HS_J2A	1700	WBGene00003333	11789602	11791302	X	-	DOG	J2	HS
N2HS_J2A	1700	WBGene00012600	12671466	12673166	II	-	DOG	J2	HS
N2HS_J2A	1700	WBGene00017297	1498480	1500180	X	-	DOG	J2	HS
N2HS_J2A	1600	WBGene00004905	1518624	1520224	III	-	DOG	J2	HS
N2HS_J2A	1600	WBGene00006650	1502531	1504131	X	-	DOG	J2	HS
N2HS_J2A	1500	WBGene00014181	12994238	12995738	III	-	DOG	J2	HS
N2HS_J2A	1500	WBGene00016016	6211612	6213112	III	-	DOG	J2	HS
N2HS_J2A	1400	WBGene00013568	15184491	15185891	V	-	DOG	J2	HS
N2HS_J2A	1400	WBGene00200573	6227605	6227753	V	-	DOG	J2	HS
N2HS_J2A	1300	WBGene00014017	9825445	9826130	III	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00196043	4355481	4355632	I	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00202259	4352594	4352745	I	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00199244	4349707	4349858	I	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00196304	13145094	13145213	X	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00197673	4346820	4346971	I	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00195962	4343780	4343931	I	-	DOG	J2	HS
N2HS_J2A	1200	WBGene00014501	13330998	13331147	I	-	DOG	J2	HS
