DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:antisense	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_same_strand_meta:tRNA	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	sample_name	source	start	strand	type
6741322	6943576	0	False	True	206300	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00201660', 'WBGene00200796', 'WBGene00195912', 'WBGene00200178', 'WBGene00198512', 'WBGene00196083', 'WBGene00200781', 'WBGene00201620', 'WBGene00202147', 'WBGene00196107', 'WBGene00198606', 'WBGene00199572', 'WBGene00197488', 'WBGene00195264', 'WBGene00198616', 'WBGene00196967', 'WBGene00201116']	['WBGene00169846']	['WBGene00019844', 'WBGene00002149', 'WBGene00019227', 'WBGene00001572', 'WBGene00018257', 'WBGene00018258', 'WBGene00018259', 'WBGene00001617', 'WBGene00016896', 'WBGene00003856', 'WBGene00016895', 'WBGene00018277', 'WBGene00018278', 'WBGene00000746', 'WBGene00018279', 'WBGene00018280', 'WBGene00017446', 'WBGene00017449', 'WBGene00017447', 'WBGene00017448']	0	0	0	['WBGene00022992']	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00200645', 'WBGene00199051', 'WBGene00200041', 'WBGene00195499', 'WBGene00196567', 'WBGene00199156', 'WBGene00197822', 'WBGene00220028', 'WBGene00196911', 'WBGene00196974', 'WBGene00197252', 'WBGene00198330', 'WBGene00196369', 'WBGene00197573', 'WBGene00200721']	0	['WBGene00003163', 'WBGene00019226', 'WBGene00019225', 'WBGene00000216', 'WBGene00019749', 'WBGene00019748', 'WBGene00000991', 'WBGene00000210', 'WBGene00016894', 'WBGene00016893', 'WBGene00004370', 'WBGene00018276', 'WBGene00006746', 'WBGene00003987', 'WBGene00017445', 'WBGene00003732', 'WBGene00015866', 'WBGene00015865']	0	0	0	['WBGene00045176']	0	6737276	6737276	0	DOG	X	.	.	6737276	ncRNA	gene_id "WBGene00196969"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00196969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	147	4046.0	N2HS_J2B_spl	WormBase	6737129	+	gene
6742922	6943383	0	False	True	205600	0	0	0	['WBGene00201474', 'WBGene00200403']	0	0	0	0	0	0	0	0	0	['WBGene00201474', 'WBGene00200403', 'WBGene00202275', 'WBGene00195799', 'WBGene00199498', 'WBGene00200278', 'WBGene00199748', 'WBGene00196174', 'WBGene00197100', 'WBGene00199536', 'WBGene00202169', 'WBGene00195562', 'WBGene00201732', 'WBGene00197106', 'WBGene00197042', 'WBGene00198939']	['WBGene00174140']	['WBGene00043297', 'WBGene00017905', 'WBGene00020066', 'WBGene00006971', 'WBGene00020067', 'WBGene00004857', 'WBGene00020068', 'WBGene00000265', 'WBGene00019382', 'WBGene00020316', 'WBGene00020317', 'WBGene00018998', 'WBGene00018999', 'WBGene00004133']	0	0	0	['WBGene00023099', 'WBGene00023098']	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00200938', 'WBGene00202413', 'WBGene00195368', 'WBGene00200544', 'WBGene00200149', 'WBGene00196960', 'WBGene00199457', 'WBGene00197637', 'WBGene00200903', 'WBGene00201979']	['WBGene00166289']	['WBGene00000998', 'WBGene00019907', 'WBGene00019908', 'WBGene00017904', 'WBGene00006498', 'WBGene00005712', 'WBGene00020064', 'WBGene00044312', 'WBGene00019381', 'WBGene00044311', 'WBGene00003181', 'WBGene00019380', 'WBGene00020315', 'WBGene00020314', 'WBGene00020313', 'WBGene00002083', 'WBGene00000276', 'WBGene00000762', 'WBGene00018997']	['WBGene00020065']	0	0	0	['WBGene00023018', 'WBGene00023097']	6737783	6737783	0	DOG	III	.	.	6737783	protein_coding	gene_id "WBGene00019501"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	512	5139.0	N2HS_J2B_s	WormBase	6737271	+	gene
6742351	6927854	0	True	True	186400	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00201660', 'WBGene00200796', 'WBGene00195912', 'WBGene00200178', 'WBGene00198512', 'WBGene00196083', 'WBGene00200781', 'WBGene00201620', 'WBGene00202147', 'WBGene00196107', 'WBGene00198606', 'WBGene00199572', 'WBGene00197488', 'WBGene00195264', 'WBGene00198616', 'WBGene00196967']	['WBGene00169846']	['WBGene00019844', 'WBGene00002149', 'WBGene00019227', 'WBGene00001572', 'WBGene00018257', 'WBGene00018258', 'WBGene00018259', 'WBGene00001617', 'WBGene00016896', 'WBGene00003856', 'WBGene00016895', 'WBGene00018277', 'WBGene00018278', 'WBGene00000746', 'WBGene00018279', 'WBGene00018280', 'WBGene00017446', 'WBGene00017449', 'WBGene00017447']	0	0	0	['WBGene00022992']	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00199051', 'WBGene00200041', 'WBGene00195499', 'WBGene00196567', 'WBGene00199156', 'WBGene00197822', 'WBGene00220028', 'WBGene00196911', 'WBGene00196974', 'WBGene00197252', 'WBGene00198330', 'WBGene00196369', 'WBGene00197573']	0	['WBGene00003163', 'WBGene00019226', 'WBGene00019225', 'WBGene00000216', 'WBGene00019749', 'WBGene00019748', 'WBGene00000991', 'WBGene00000210', 'WBGene00016894', 'WBGene00016893', 'WBGene00004370', 'WBGene00018276', 'WBGene00006746', 'WBGene00003987', 'WBGene00017445', 'WBGene00003732']	0	0	0	['WBGene00045176']	0	6741454	6741454	0	DOG	X	.	.	6741454	ncRNA	gene_id "WBGene00200645"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	132	897.0	N2HS_J2B_spl	WormBase	6741322	+	gene
6741663	6927782	0	False	True	186300	0	0	0	0	0	0	0	0	0	0	0	['WBGene00219680']	0	['WBGene00198268', 'WBGene00197227', 'WBGene00197883', 'WBGene00199693', 'WBGene00199584', 'WBGene00198582', 'WBGene00196819', 'WBGene00195784', 'WBGene00200818', 'WBGene00196586', 'WBGene00201982', 'WBGene00201735', 'WBGene00202026', 'WBGene00200136', 'WBGene00200874', 'WBGene00201988', 'WBGene00197726', 'WBGene00196542', 'WBGene00198605']	['WBGene00174367', 'WBGene00166760']	['WBGene00002098', 'WBGene00002097', 'WBGene00018303', 'WBGene00044315', 'WBGene00044317', 'WBGene00044316', 'WBGene00005986', 'WBGene00018304', 'WBGene00017954', 'WBGene00017955', 'WBGene00001023', 'WBGene00016625', 'WBGene00016626', 'WBGene00016627', 'WBGene00016628', 'WBGene00016629', 'WBGene00004058', 'WBGene00004059', 'WBGene00016630', 'WBGene00016632', 'WBGene00016631', 'WBGene00015088', 'WBGene00000886', 'WBGene00015089', 'WBGene00017700']	['WBGene00017956']	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	['WBGene00219246']	['WBGene00198197', 'WBGene00197199', 'WBGene00195677', 'WBGene00201644', 'WBGene00201865', 'WBGene00195594', 'WBGene00201247', 'WBGene00200867', 'WBGene00199645', 'WBGene00199832', 'WBGene00198679', 'WBGene00201153', 'WBGene00196003']	['WBGene00167435', 'WBGene00174671']	['WBGene00018305', 'WBGene00018302', 'WBGene00018301', 'WBGene00001424', 'WBGene00018300', 'WBGene00018299', 'WBGene00018298', 'WBGene00044221', 'WBGene00020480', 'WBGene00020482', 'WBGene00020481', 'WBGene00020479', 'WBGene00020478', 'WBGene00006380', 'WBGene00004921', 'WBGene00017953', 'WBGene00001194', 'WBGene00015410', 'WBGene00206529', 'WBGene00016624', 'WBGene00016623', 'WBGene00000211', 'WBGene00044615', 'WBGene00015087']	0	0	0	['WBGene00219797']	['WBGene00022907', 'WBGene00022961']	6741482	6741482	0	DOG	II	.	.	6741482	protein_coding	gene_id "WBGene00020498"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4578	181.0	N2HS_J2B_sp	WormBase	6736904	+	gene
6757175	6926858	0	False	True	184500	0	0	0	0	0	['WBGene00006773', 'WBGene00020935', 'WBGene00020936']	0	0	0	0	0	['WBGene00219733']	0	['WBGene00219882', 'WBGene00201755', 'WBGene00202230', 'WBGene00200037']	0	['WBGene00006773', 'WBGene00020935', 'WBGene00020936', 'WBGene00017240', 'WBGene00006819', 'WBGene00004111', 'WBGene00016492', 'WBGene00016493', 'WBGene00016494', 'WBGene00019324', 'WBGene00004778', 'WBGene00019248', 'WBGene00020661', 'WBGene00006423', 'WBGene00016743', 'WBGene00004879', 'WBGene00016744', 'WBGene00016746', 'WBGene00016745']	0	['WBGene00219993', 'WBGene00194992']	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00200700', 'WBGene00196417', 'WBGene00195749', 'WBGene00201440', 'WBGene00220000', 'WBGene00201494', 'WBGene00200648', 'WBGene00199300', 'WBGene00197432', 'WBGene00196658', 'WBGene00195861', 'WBGene00201916']	0	['WBGene00001682', 'WBGene00017239', 'WBGene00000871', 'WBGene00016491', 'WBGene00004110', 'WBGene00017098', 'WBGene00006740', 'WBGene00019323', 'WBGene00019322', 'WBGene00001056', 'WBGene00001075', 'WBGene00019247', 'WBGene00019246', 'WBGene00019245', 'WBGene00001598', 'WBGene00044898', 'WBGene00020660', 'WBGene00020659', 'WBGene00016742', 'WBGene00016741', 'WBGene00016740', 'WBGene00020399']	0	0	0	0	['WBGene00022955']	6742358	6742358	0	DOG	I	.	.	6742358	protein_coding	gene_id "WBGene00020937"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	374	14817.0	N2HS_J2B_spl	WormBase	6741984	+	gene
6756476	6923965	0	False	True	168000	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00198268', 'WBGene00197227', 'WBGene00197883', 'WBGene00199693', 'WBGene00199584', 'WBGene00198582', 'WBGene00196819', 'WBGene00195784', 'WBGene00200818', 'WBGene00196586', 'WBGene00201982', 'WBGene00201735', 'WBGene00202026', 'WBGene00200136', 'WBGene00200874', 'WBGene00201988', 'WBGene00197726', 'WBGene00196542']	['WBGene00174367', 'WBGene00166760']	['WBGene00018304', 'WBGene00017954', 'WBGene00017955', 'WBGene00001023', 'WBGene00016625', 'WBGene00016626', 'WBGene00016627', 'WBGene00016628', 'WBGene00016629', 'WBGene00004058', 'WBGene00004059', 'WBGene00016630', 'WBGene00016632', 'WBGene00016631', 'WBGene00015088', 'WBGene00000886', 'WBGene00015089']	['WBGene00017956']	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00198197', 'WBGene00197199', 'WBGene00195677', 'WBGene00201644', 'WBGene00201865', 'WBGene00195594', 'WBGene00201247', 'WBGene00200867', 'WBGene00199645', 'WBGene00199832', 'WBGene00198679', 'WBGene00201153']	['WBGene00167435', 'WBGene00174671']	['WBGene00018300', 'WBGene00018299', 'WBGene00018298', 'WBGene00044221', 'WBGene00020480', 'WBGene00020482', 'WBGene00020481', 'WBGene00020479', 'WBGene00020478', 'WBGene00006380', 'WBGene00004921', 'WBGene00017953', 'WBGene00001194', 'WBGene00015410', 'WBGene00206529', 'WBGene00016624', 'WBGene00016623', 'WBGene00000211', 'WBGene00044615', 'WBGene00015087']	0	0	0	['WBGene00219797']	['WBGene00022907', 'WBGene00022961']	6755965	6755965	0	DOG	II	.	.	6755965	protein_coding	gene_id "WBGene00001424"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	829	511.0	N2HS_J2B_sp	WormBase	6755136	+	gene
6757311	6923942	0	False	True	167500	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00199042', 'WBGene00200214', 'WBGene00198193', 'WBGene00199265', 'WBGene00200701', 'WBGene00200526', 'WBGene00197128', 'WBGene00236787', 'WBGene00201498']	['WBGene00165046', 'WBGene00165932', 'WBGene00166265', 'WBGene00168805', 'WBGene00168305', 'WBGene00166171', 'WBGene00165404', 'WBGene00174803', 'WBGene00170981', 'WBGene00166644', 'WBGene00173578', 'WBGene00171267', 'WBGene00170354', 'WBGene00172112', 'WBGene00173177', 'WBGene00174692', 'WBGene00170954', 'WBGene00168228', 'WBGene00173729', 'WBGene00172354', 'WBGene00170652', 'WBGene00173777', 'WBGene00166502', 'WBGene00171126', 'WBGene00167090', 'WBGene00168545', 'WBGene00172770', 'WBGene00168343', 'WBGene00169759', 'WBGene00173039', 'WBGene00167899']	['WBGene00015927', 'WBGene00015928', 'WBGene00015929', 'WBGene00015930', 'WBGene00015931', 'WBGene00015932', 'WBGene00020069', 'WBGene00006608', 'WBGene00020234', 'WBGene00020686', 'WBGene00004458', 'WBGene00020687', 'WBGene00195051']	['WBGene00023331']	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00198296', 'WBGene00219994', 'WBGene00199434', 'WBGene00198713', 'WBGene00197915', 'WBGene00198975', 'WBGene00202332', 'WBGene00201550', 'WBGene00199353', 'WBGene00196138', 'WBGene00202097', 'WBGene00198076', 'WBGene00198985', 'WBGene00196846']	['WBGene00172545', 'WBGene00170926', 'WBGene00168815', 'WBGene00166738', 'WBGene00173776', 'WBGene00170715', 'WBGene00167202', 'WBGene00167726', 'WBGene00165811', 'WBGene00166811', 'WBGene00171754', 'WBGene00166640', 'WBGene00167648', 'WBGene00170245', 'WBGene00165731', 'WBGene00165521', 'WBGene00174615', 'WBGene00165147', 'WBGene00165649', 'WBGene00171031', 'WBGene00166397', 'WBGene00166361', 'WBGene00168272', 'WBGene00169907', 'WBGene00168577', 'WBGene00168625', 'WBGene00172611', 'WBGene00168560', 'WBGene00170078', 'WBGene00168737']	['WBGene00019259', 'WBGene00004954', 'WBGene00015938', 'WBGene00006917', 'WBGene00015937', 'WBGene00015936', 'WBGene00236786', 'WBGene00015935', 'WBGene00015934', 'WBGene00015933', 'WBGene00019215', 'WBGene00019214', 'WBGene00019213', 'WBGene00003043', 'WBGene00005911', 'WBGene00005910', 'WBGene00020235', 'WBGene00020685', 'WBGene00020684', 'WBGene00195050', 'WBGene00020683', 'WBGene00020682', 'WBGene00020681', 'WBGene00020680']	['WBGene00023238']	0	0	['WBGene00219822']	0	6756442	6756442	0	DOG	IV	.	.	6756442	ncRNA	gene_id "WBGene00196962"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00196962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	199	869.0	N2HS_J2B_sp	WormBase	6756243	+	gene
6757763	6923733	0	True	True	166500	0	0	0	0	0	0	0	0	0	0	0	['WBGene00219733']	0	['WBGene00219882', 'WBGene00201755', 'WBGene00202230', 'WBGene00200037']	0	['WBGene00017240', 'WBGene00006819', 'WBGene00004111', 'WBGene00016492', 'WBGene00016493', 'WBGene00016494', 'WBGene00019324', 'WBGene00004778', 'WBGene00019248', 'WBGene00020661', 'WBGene00006423', 'WBGene00016743', 'WBGene00004879', 'WBGene00016744', 'WBGene00016746']	0	['WBGene00219993', 'WBGene00194992']	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00196417', 'WBGene00195749', 'WBGene00201440', 'WBGene00220000', 'WBGene00201494', 'WBGene00200648', 'WBGene00199300', 'WBGene00197432', 'WBGene00196658', 'WBGene00195861', 'WBGene00201916']	0	['WBGene00001682', 'WBGene00017239', 'WBGene00000871', 'WBGene00016491', 'WBGene00004110', 'WBGene00017098', 'WBGene00006740', 'WBGene00019323', 'WBGene00019322', 'WBGene00001056', 'WBGene00001075', 'WBGene00019247', 'WBGene00019246', 'WBGene00019245', 'WBGene00001598', 'WBGene00044898', 'WBGene00020660', 'WBGene00020659', 'WBGene00016742', 'WBGene00016741', 'WBGene00016740']	0	0	0	0	['WBGene00022955']	6757233	6757233	0	DOG	I	.	.	6757233	ncRNA	gene_id "WBGene00200700"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	58	530.0	N2HS_J2B_spl	WormBase	6757175	+	gene
6760416	6922478	0	True	True	164300	0	0	0	0	0	['WBGene00017240']	0	0	0	0	0	['WBGene00219733']	0	['WBGene00219882', 'WBGene00201755', 'WBGene00202230', 'WBGene00200037']	0	['WBGene00017240', 'WBGene00006819', 'WBGene00004111', 'WBGene00016492', 'WBGene00016493', 'WBGene00016494', 'WBGene00019324', 'WBGene00004778', 'WBGene00019248', 'WBGene00020661', 'WBGene00006423', 'WBGene00016743', 'WBGene00004879', 'WBGene00016744']	0	['WBGene00219993', 'WBGene00194992']	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00196417', 'WBGene00195749', 'WBGene00201440', 'WBGene00220000', 'WBGene00201494', 'WBGene00200648', 'WBGene00199300', 'WBGene00197432', 'WBGene00196658', 'WBGene00195861', 'WBGene00201916']	0	['WBGene00017239', 'WBGene00000871', 'WBGene00016491', 'WBGene00004110', 'WBGene00017098', 'WBGene00006740', 'WBGene00019323', 'WBGene00019322', 'WBGene00001056', 'WBGene00001075', 'WBGene00019247', 'WBGene00019246', 'WBGene00019245', 'WBGene00001598', 'WBGene00044898', 'WBGene00020660', 'WBGene00020659', 'WBGene00016742', 'WBGene00016741', 'WBGene00016740']	0	0	0	0	['WBGene00022955']	6758178	6758178	0	DOG	I	.	.	6758178	protein_coding	gene_id "WBGene00001682"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	415	2238.0	N2HS_J2B_spl	WormBase	6757763	+	gene
4338365	4498313	0	False	True	161000	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00199403', 'WBGene00201718', 'WBGene00195732', 'WBGene00198006', 'WBGene00197667', 'WBGene00220051', 'WBGene00202062', 'WBGene00201220', 'WBGene00199917', 'WBGene00200138', 'WBGene00199569', 'WBGene00195345', 'WBGene00201431', 'WBGene00198358', 'WBGene00202457', 'WBGene00200377']	0	['WBGene00017473', 'WBGene00017474', 'WBGene00219368', 'WBGene00017475', 'WBGene00020120', 'WBGene00219369', 'WBGene00020121', 'WBGene00020122', 'WBGene00020123', 'WBGene00003084', 'WBGene00001052', 'WBGene00017478', 'WBGene00017794', 'WBGene00017178', 'WBGene00003561', 'WBGene00023460', 'WBGene00000959']	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	['WBGene00200380', 'WBGene00201379', 'WBGene00196416', 'WBGene00219893', 'WBGene00200479', 'WBGene00198022', 'WBGene00197464', 'WBGene00196445', 'WBGene00201746', 'WBGene00200906', 'WBGene00200242', 'WBGene00202473', 'WBGene00200381', 'WBGene00195263', 'WBGene00201445', 'WBGene00199358']	['WBGene00169234']	['WBGene00017472', 'WBGene00017471', 'WBGene00017470', 'WBGene00000738', 'WBGene00020119', 'WBGene00001082', 'WBGene00017040', 'WBGene00017477', 'WBGene00017476', 'WBGene00017177', 'WBGene00000157', 'WBGene00017176', 'WBGene00000207']	['WBGene00023268']	0	0	0	['WBGene00022993', 'WBGene00022994', 'WBGene00023013', 'WBGene00023014']	4337313	4337313	0	DOG	X	.	.	4337313	ncRNA	gene_id "WBGene00197077"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	150	1052.0	N2HS_J2B_spl	WormBase	4337163	+	gene
