DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
1216116	1216116		False	False	300	1215816	1215816		ADOG	III	.	.	1222072	protein_coding	gene_id "WBGene00003978"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003978	0	0	0	['WBGene00198758', 'WBGene00198362']	0	0	0	0.0	0	0	0	0	0	0	['WBGene00198919']	0	0	0	0	0	['WBGene00023206']	14108.0	5956		WormBase	1216116	-	gene	False	N2HS_J2A_split
6622676	6622676		False	False	200	6622476	6622476		ADOG	III	.	.	6624972	protein_coding	gene_id "WBGene00015734"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015734	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	14570.0	2296		WormBase	6622676	-	gene	False	N2HS_J2A_split
7966601	7966601		False	False	400	7966201	7966201		ADOG	III	.	.	7969221	protein_coding	gene_id "WBGene00045247"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00045247	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3860.0	2620		WormBase	7966601	-	gene	False	N2HS_J2A_split
9826130	9826130		False	False	300	9825830	9825830		ADOG	III	.	.	9827178	protein_coding	gene_id "WBGene00014017"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00014017	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	685.0	1048		WormBase	9826130	-	gene	False	N2HS_J2A_split
11579265	11579265		False	False	400	11578865	11578865		ADOG	III	.	.	11580478	protein_coding	gene_id "WBGene00013433"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013433	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	20691.0	1213		WormBase	11579265	-	gene	False	N2HS_J2A_split
12975068	12975068		False	False	2400	12972668	12972668		ADOG	III	.	.	12977862	protein_coding	gene_id "WBGene00014176"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00014176	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2570.0	2794		WormBase	12975068	-	gene	False	N2HS_J2A_split
12023587	12023587		False	False	600	12022987	12022987		ADOG	X	.	.	12023663	ncRNA	gene_id "WBGene00198935"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00198935	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7397.0	76		WormBase	12023587	-	gene	False	N2HS_J2A_split
14079397	14079397		False	False	300	14079097	14079097		ADOG	X	.	.	14080037	lincRNA	gene_id "WBGene00219564"; gene_source "WormBase"; gene_biotype "lincRNA";	WBGene00219564	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	723.0	640		WormBase	14079397	-	gene	False	N2HS_J2A_split
16948355	16948355		True	False	200	16948155	16948155		ADOG	X	.	.	16952113	protein_coding	gene_id "WBGene00018712"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018712	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	329.0	3758		WormBase	16948355	-	gene	False	N2HS_J2A_split
1423095	1423095		False	False	400	1422695	1422695		ADOG	IV	.	.	1425062	protein_coding	gene_id "WBGene00022311"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022311	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3248.0	1967		WormBase	1423095	-	gene	False	N2HS_J2A_split
4170776	4170776		False	False	200	4170576	4170576		ADOG	IV	.	.	4171569	protein_coding	gene_id "WBGene00195048"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00195048	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	26430.0	793		WormBase	4170776	-	gene	False	N2HS_J2A_split
4479693	4479693		False	False	900	4478793	4478793		ADOG	IV	.	.	4482764	protein_coding	gene_id "WBGene00019720"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019720	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2634.0	3071		WormBase	4479693	-	gene	False	N2HS_J2A_split
13704775	13704775		False	False	200	13704575	13704575		ADOG	IV	.	.	13704795	piRNA	gene_id "WBGene00047438"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00047438	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	693.0	20		WormBase	13704775	-	gene	False	N2HS_J2A_split
3539554	3539554		False	False	200	3539354	3539354		ADOG	I	.	.	3546904	protein_coding	gene_id "WBGene00004389"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004389	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9598.0	7350		WormBase	3539554	-	gene	False	N2HS_J2A_split
