sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
OK8_J2_3	11200	WBGene00195813	15068355	15070431	I	-	DOG	J2	OK
OK8_J2_3	8100	WBGene00196396	15063383	15067668	I	-	DOG	J2	OK
OK8_J2_3	3000	WBGene00198814	15061159	15063050	I	-	DOG	J2	OK
OK8_J2_3	1000	WBGene00004765	3611951	3612951	III	-	DOG	J2	OK
OK8_J2_3	900	WBGene00013732	12537764	12538664	III	-	DOG	J2	OK
OK8_J2_3	900	WBGene00003598	4893747	4894647	III	-	DOG	J2	OK
OK8_J2_3	800	WBGene00012476	12809682	12809999	I	-	DOG	J2	OK
OK8_J2_3	600	WBGene00015273	2482404	2483004	V	-	DOG	J2	OK
OK8_J2_3	600	WBGene00021227	2374443	2375043	V	-	DOG	J2	OK
OK8_J2_3	600	WBGene00201398	15060261	15060861	I	-	DOG	J2	OK
OK8_J2_3	400	WBGene00001707	1258974	1259374	I	-	DOG	J2	OK
OK8_J2_3	400	WBGene00201669	15071866	15072266	I	-	DOG	J2	OK
OK8_J2_3	400	WBGene00013669	14400279	14400679	I	-	DOG	J2	OK
OK8_J2_3	300	WBGene00017190	8854693	8854993	V	-	DOG	J2	OK
OK8_J2_3	300	WBGene00012719	13143073	13143373	III	-	DOG	J2	OK
OK8_J2_3	300	WBGene00004246	211956	212256	I	-	DOG	J2	OK
OK8_J2_3	300	WBGene00012961	12095477	12095777	I	-	DOG	J2	OK
OK8_J2_3	300	WBGene00004890	3666623	3666923	I	-	DOG	J2	OK
OK8_J2_3	300	WBGene00009301	14869306	14869606	X	-	DOG	J2	OK
OK8_J2_3	200	WBGene00015485	6422259	6422459	III	-	DOG	J2	OK
OK8_J2_3	200	WBGene00219803	10574451	10574651	II	-	DOG	J2	OK
OK8_J2_3	200	WBGene00021238	1988046	1988246	I	-	DOG	J2	OK
OK8_J2_3	200	WBGene00006958	11924585	11924785	I	-	DOG	J2	OK
OK8_J2_3	200	WBGene00077687	11064170	11064370	I	-	DOG	J2	OK
OK8_J2_3	200	WBGene00194769	16603369	16603529	V	-	DOG	J2	OK
OK8_J2_3	200	WBGene00220118	2822537	2822737	I	-	DOG	J2	OK
OK8_J2_3	200	WBGene00019587	2261928	2262128	II	-	DOG	J2	OK
