DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	sample_name	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:tRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_meta:antisense	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_meta:snRNA
5820460	5820460	0	False	False	200	5820260	5820260	0	DOG	X	.	.	5820260	ncRNA	gene_id "WBGene00201633"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	193	2017.0	WormBase	5820067	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6871870	6871870	0	False	False	200	6871670	6871670	0	DOG	X	.	.	6871670	protein_coding	gene_id "WBGene00018276"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018276	0	0	0	0	0	['WBGene00018277']	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	1316	15011.0	WormBase	6870354	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11440852	11440852	0	False	False	200	11440652	11440652	0	DOG	X	.	.	11440652	protein_coding	gene_id "WBGene00164974"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00164974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	612	7437.0	WormBase	11440040	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11484826	11485900	0	False	True	1300	11484600	11484600	0	DOG	X	.	.	11484600	snoRNA	gene_id "WBGene00220093"; gene_source "WormBase"; gene_biotype "snoRNA";	WBGene00220093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	107	226.0	WormBase	11484493	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00220094']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11485824	11485824	0	True	False	900	11484924	11484924	0	DOG	X	.	.	11484924	snoRNA	gene_id "WBGene00220094"; gene_source "WormBase"; gene_biotype "snoRNA";	WBGene00220094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	98	2864.0	WormBase	11484826	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16943323	16945119	0	False	True	13500	16931619	16931619	0	DOG	X	.	.	16931619	ncRNA	gene_id "WBGene00022951"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00022951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	1705	11704.0	WormBase	16929914	+	gene	N2-J2-1__split	NA	NA	NA	['WBGene00018711']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00219964']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17010262	17010262	0	False	False	1800	17008462	17008462	0	DOG	X	.	.	17008462	protein_coding	gene_id "WBGene00019347"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019347	0	0	0	['WBGene00196109', 'WBGene00201081']	0	0	0	0	0	0	0	0	0	['WBGene00201892', 'WBGene00199833']	0	0	0	0.0	0	0	0	0	21833	5000.0	WormBase	16986629	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2423195	2423195	0	False	False	300	2422895	2422895	0	DOG	V	.	.	2422895	protein_coding	gene_id "WBGene00015731"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	1028	8910.0	WormBase	2421867	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2531474	2531474	0	False	False	300	2531174	2531174	0	DOG	V	.	.	2531174	protein_coding	gene_id "WBGene00044131"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00044131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	1028	8910.0	WormBase	2530146	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2646920	2646920	0	False	False	300	2646620	2646620	0	DOG	V	.	.	2646620	protein_coding	gene_id "WBGene00020957"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020957	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00220114', 'WBGene00220115']	0	0	0	0.0	0	0	0	0	7777	6459.0	WormBase	2638843	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5951291	5951291	0	False	False	300	5950991	5950991	0	DOG	V	.	.	5950991	protein_coding	gene_id "WBGene00004206"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004206	['WBGene00219717']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	7517	442.0	WormBase	5943474	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6040982	6040982	0	False	False	400	6040582	6040582	0	DOG	V	.	.	6040582	protein_coding	gene_id "WBGene00017930"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	1488	2210.0	WormBase	6039094	+	gene	N2-J2-1__split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9339758	9339758	0	False	False	900	9338858	9338858	0	DOG	V	.	.	9338858	protein_coding	gene_id "WBGene00000766"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	2096	6914.0	WormBase	9336762	+	gene	N2-J2-1__split	NA	NA	['WBGene00019466']	['WBGene00019466']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
