gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00022090	protein_coding	ADOG	IV	+	200	2494135	2494335	2494135	2494335	0.0	False	False	0.0	0.998665344693429	191.0	0.52954773325176	0.33105056099046903	0.526474548747249	0.395259359550053	WormBase	5315	0.0	1600.0	OK8-J2-1_split	2488820	2494135	gene
WBGene00004974	protein_coding	ADOG	IV	+	300	9934285	9934585	9934285	9934585	0.0	False	False	0.0	0.998665344693429	25.75	0.708839940488341	0.36154385678185	0.9680704746754509	0.139438417697853	WormBase	375	0.0	10201.0	OK80-INP_split	9933910	9934285	gene
WBGene00012384	pseudogene	ADOG	IV	+	200	11070950	11071150	11070950	11071150	0.0	False	False	0.0	0.629811256985991	66.5	0.0316803529823737	-3.1966838605650096	1.43471312264245	4.61571133293346	WormBase	1563	0.0	12197.0	OK80-INP_split	11069387	11070950	gene
WBGene00014958	pseudogene	ADOG	IV	+	300	15558079	15558379	15558079	15558379	0.0	False	False	0.0	0.998665344693429	80.75	0.7925609399348891	-0.16258198013894598	0.618265492023457	0.0691619295378629	WormBase	2042	0.0	437.0	N2-J2-3__split	15556037	15558079	gene
WBGene00009156	protein_coding	ADOG	IV	+	200	17277748	17277948	17277748	17277948	0.0	False	False	0.0		5.375	0.62933490568094	-0.8479881401207321	1.75796943324697	0.23296375241441297	WormBase	792	0.0	665.0	OK80-INP_split	17276956	17277748	gene
WBGene00021850	protein_coding	ADOG	III	+	200	2511802	2512002	2511802	2512002	0.0	False	False	0.0	0.998665344693429	83.5	0.40951435374419703	-0.516839314798752	0.626266400918036	0.6802101946823029	WormBase	2954	0.0	17261.0	OK80-INP_split	2508848	2511802	gene
WBGene00008005	protein_coding	ADOG	III	+	200	4795423	4795623	4795423	4795623	0.0	False	False	0.0	0.998665344693429	10.0	0.872687700131522	-0.221209828605477	1.3808884824561998	0.0256786155994817	WormBase	2337	0.0	1416.0	OK80-INP_split	4793086	4795423	gene
WBGene00219614	lincRNA	ADOG	III	+	200	10719485	10719685	10719485	10719685	0.0	False	False	0.0	0.998665344693429	45.25	0.7329043237198279	-0.239712707888355	0.7024626640564691	0.11646159193289699	WormBase	1144	0.0	23292.0	OK80-INP_split	10718341	10719485	gene
WBGene00021044	protein_coding	ADOG	X	+	200	1452306	1452506	1452306	1452506	0.0	False	False	0.0	0.998665344693429	14.375	0.9702523534326459	-0.0405217587465421	1.08657178716113	0.00139067742736643	WormBase	1538	0.0	6741.0	OK80-INP_split	1450768	1452306	gene
WBGene00255594	protein_coding	ADOG	I	+	300	219099	219399	219099	219399	0.0	False	False	0.0	0.9992914231609699	24.875	0.979370453668192	-0.027125314016942	1.04908751185697	0.00066864565057756	WormBase	1039	0.0	21392.0	N2WT_INP_split	218060	219099	gene
WBGene00021692	protein_coding	ADOG	I	+	600	1258258	1258858	1258258	1258858	0.0	False	False	0.0	0.8092382021156209	65.5	0.0680642668065994	1.5156269763849801	0.842148141231375	3.3290962113496203	WormBase	3488	0.0	20550.0	OK8-J2-1_split	1254770	1258258	gene
WBGene00001115	protein_coding	ADOG	I	+	200	1490494	1490694	1490494	1490694	0.0	False	False	0.0	0.998665344693429	82.125	0.7727261933486651	0.174542583546721	0.6044449783074329	0.0834116582613902	WormBase	7411	0.0	24261.0	N2-J2-3__split	1483083	1490494	gene
WBGene00206530	protein_coding	ADOG	I	+	200	11065373	11065573	11065373	11065573	0.0	False	False	0.0	0.998665344693429	183.0	0.21611400649010398	0.645416820801354	0.5216760026932321	1.5299895940816	WormBase	2013	0.0	31621.0	OK8-J2-2_split	11063360	11065373	gene
WBGene00006793	protein_coding	ADOG	I	+	300	13633494	13633794	13633494	13633794	0.0	False	False	0.0	0.9069717765724541	101.25	0.10515675956150901	-1.5953892846987399	0.98306855859951	2.62553947219389	WormBase	4267	0.0	1548.0	N2-J2-2__split	13629227	13633494	gene
WBGene00235319	pseudogene	ADOG	V	+	200	5777901	5778101	5777901	5778101	0.0	False	False	0.0	0.998665344693429	20.625	0.505384161216258	-0.6295561155275179	0.9441216073639721	0.443612141682053	WormBase	472	0.0	2253.0	OK8-J2-1_split	5777429	5777901	gene
WBGene00012446	protein_coding	ADOG	V	+	200	18852729	18852929	18852729	18852929	0.0	False	False	0.0	0.998665344693429	37.125	0.18279706890308897	-1.04268893620968	0.78102044811021	1.77473581524536	WormBase	5912	0.0	21404.0	OK8-J2-2_split	18846817	18852729	gene
WBGene00019586	protein_coding	ADOG	II	+	700	2261101	2261801	2261101	2261801	0.0	False	False	0.0	0.998665344693429	161.75	0.40407509088014604	-0.453086241699642	0.542547600457638	0.696165672894551	WormBase	5929	0.0	19038.0	N2-J2-1__split	2255172	2261101	gene
WBGene00249813	ncRNA	ADOG	II	+	200	3309287	3309487	3309287	3309487	0.0	False	False	0.0	0.998665344693429	22.0	0.63013639446114	0.443490101215247	0.920738463366442	0.23187584256276503	WormBase	18	0.0	701.0	OK8-J2-2_split	3309269	3309287	gene
WBGene00016114	protein_coding	ADOG	II	+	200	5682667	5682867	5682667	5682867	0.0	False	False	0.0	0.998665344693429	35.125	0.8925790083283479	0.10507434959552803	0.778083833098989	0.0182362252540003	WormBase	1687	0.0	8995.0	OK80-INP_split	5680980	5682667	gene
WBGene00020318	protein_coding	ADOG	II	+	200	7151760	7151960	7151760	7151960	0.0	False	False	0.0	0.998665344693429	40.875	0.49074861190218	-0.529013336349673	0.767362572236514	0.47488449761056	WormBase	2512	0.0	806.0	OK80-INP_split	7149248	7151760	gene
WBGene00004513	rRNA	ADOG	I	+	300	15071033	15071333	15071033	15071333	0.0	True	False	0.0	0.376587915328677	147.25	0.00611060595109119	1.67170819809274	0.6041730004936341	7.517392789323139	WormBase	1753	0.0	1233.0	OK8-J2-1_split	15069280	15071033	gene
