DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name	ADOG_overlap_DOG
13087479	13087479	0	False	False	5200	13082279	13082279	0	ADOG	III	.	.	13099455	protein_coding	gene_id "WBGene00004164"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004164	0	0	0	0	0	['WBGene00012721']	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	30875.0	11976	0.0	WormBase	13087479	-	gene	False	N2HS_J2B_s	False
276989	276989	0	False	False	3600	273389	273389	0	ADOG	V	.	.	281716	protein_coding	gene_id "WBGene00021983"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021983	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4052.0	4727	0.0	WormBase	276989	-	gene	False	N2HS_J2B_spl	False
1963063	1963063	0	False	False	3400	1959663	1959663	0	ADOG	II	.	.	1967936	protein_coding	gene_id "WBGene00022692"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022692	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4808.0	4873	0.0	WormBase	1963063	-	gene	False	N2HS_J2B_sp	False
14197373	14197373	0	False	False	3200	14194173	14194173	0	ADOG	X	.	.	14209153	protein_coding	gene_id "WBGene00000458"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000458	0	0	0	['WBGene00200595', 'WBGene00201941', 'WBGene00200954', 'WBGene00200241', 'WBGene00202119']	['WBGene00173168']	0	0	0.0	0	0	0	0	0	0	['WBGene00201235', 'WBGene00196488']	0	0	0	0	0	0	11776.0	11780	0.0	WormBase	14197373	-	gene	False	N2HS_J2B_spl	False
9779182	9779182	0	False	False	2800	9776382	9776382	0	ADOG	II	.	.	9781950	protein_coding	gene_id "WBGene00011677"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011677	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3299.0	2768	0.0	WormBase	9779182	-	gene	False	N2HS_J2B_sp	False
5457268	5457268	0	False	False	2600	5454668	5454668	0	ADOG	IV	.	.	5457721	pseudogene	gene_id "WBGene00235281"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00235281	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813.0	453	0.0	WormBase	5457268	-	gene	False	N2HS_J2B_sp	False
8253090	8253090	0	False	False	2500	8250590	8250590	0	ADOG	IV	.	.	8253177	ncRNA	gene_id "WBGene00195811"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00195811	0	0	0	0	0	0	0	0.0	0	['WBGene00023083']	0	0	0	0	0	0	0	0	0	0	0	9391.0	87	0.0	WormBase	8253090	-	gene	False	N2HS_J2B_sp	False
11009356	11009356	0	False	False	2400	11006956	11006956	0	ADOG	V	.	.	11009489	ncRNA	gene_id "WBGene00198920"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00198920	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6822.0	133	0.0	WormBase	11009356	-	gene	False	N2HS_J2B_spl	False
7479680	7479680	0	False	False	1900	7477780	7477780	0	ADOG	III	.	.	7489075	protein_coding	gene_id "WBGene00003497"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003497	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11004.0	9395	0.0	WormBase	7479680	-	gene	False	N2HS_J2B_s	False
2926311	2926311	0	False	False	1900	2924411	2924411	0	ADOG	X	.	.	2926451	ncRNA	gene_id "WBGene00196001"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00196001	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2327.0	140	0.0	WormBase	2926311	-	gene	False	N2HS_J2B_spl	False
