gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00021406	protein_coding	DOG	IV	+	400	14926	15326	14926	15326	0	False	False	0	0.999080862006025	705.375	0.8178818247231039	-0.0765039450668959	0.33222983353433805	0.0530243594791955	WormBase	14231	0.0	6567.0	OK80-INP_split	695	14926	gene
WBGene00021405	protein_coding	DOG	IV	+	200	23198	23398	23198	23398	0	False	False	0	0.999080862006025	54.75	0.971273235624087	-0.0232573953161989	0.645746309145369	0.0012968239415585	WormBase	1705	0.0	3784.0	N2-J2-3__split	21493	23198	gene
WBGene00022306	protein_coding	POG	IV	+	500	1497130	1497630	1497130	1497630	False	0	0	False	0.999080862006025	1189.5	0.493757821228288	0.211682256028194	0.309272793544974	0.46832703032694706	WormBase	12335	7868.0	0.0	N2-J2-1__split	1497630	1509965	gene
WBGene00022300	protein_coding	DOG	IV	+	300	1992966	1993089	1992966	1993266	0	False	True	0	0.999080862006025	975.625	0.872848772674614	0.0547651177409809	0.342190464159578	0.0256131234862664	WormBase	11560	0.0	123.0	OK80-INP_split	1981406	1992966	gene
WBGene00020208	protein_coding	DOG	IV	+	200	2235795	2235995	2235795	2235995	0	False	False	0	0.999080862006025	1506.0	0.7503868867739129	-0.109856696225363	0.345303965458149	0.101206228285619	WormBase	12967	0.0	7265.0	OK80-INP_split	2222828	2235795	gene
WBGene00021423	protein_coding	DOG	IV	+	200	2382171	2382371	2382171	2382371	0	False	False	0	0.999080862006025	2353.0	0.79490688472304	-0.0791084439129232	0.304320476628278	0.0675709409125176	WormBase	32900	0.0	1842.0	OK80-INP_split	2349271	2382171	gene
WBGene00022375	protein_coding	DOG	IV	+	200	2732404	2732604	2732404	2732604	0	False	False	0	0.999080862006025	13.875	0.7619677051149442	-0.35989535525002897	1.18634055371916	0.0917471113291057	WormBase	2152	0.0	7810.0	N2-J2-3__split	2730252	2732404	gene
WBGene00200723	ncRNA	DOG	IV	+	200	3168949	3169149	3168949	3169149	0	False	False	0	0.999080862006025	11.375	0.8231347008408871	0.292181366417737	1.30788475917676	0.0499589605424475	WormBase	149	0.0	33384.0	N2-J2-3__split	3168800	3168949	gene
WBGene00197555	ncRNA	DOG	IV	+	300	3254824	3255124	3254824	3255124	0	False	False	0	0.999080862006025	35.625	0.8943452397239829	-0.10431346176886301	0.7855700181796109	0.0176379606997017	WormBase	90	0.0	4086.0	N2-J2-1__split	3254734	3254824	gene
WBGene00018325	pseudogene	DOG	IV	+	200	3324950	3325150	3324950	3325150	0	False	False	0	0.999080862006025	1225.75	0.815868909650611	0.0710398156627217	0.305067947486884	0.054224505502134	WormBase	4937	0.0	7227.0	N2WT_INP_split	3320013	3324950	gene
WBGene00023366	pseudogene	DOG	IV	+	200	3589335	3589535	3589335	3589535	0	False	False	0	0.999080862006025	21.0	0.0936586249469654	-1.8188485445111298	1.07348073381904	2.81033826777129	WormBase	72	0.0	17449.0	OK8-J2-2_split	3589263	3589335	gene
WBGene00000123	protein_coding	DOG	IV	+	200	4258173	4258373	4258173	4258373	0	False	False	0	0.9995441434906409	4269.0	0.974611386396866	0.0108085409206698	0.339621396123032	0.00101284844095062	WormBase	10153	0.0	5120.0	OK80-INP_split	4248020	4258173	gene
WBGene00235373	ncRNA	DOG	IV	+	800	4397925	4398725	4397925	4398725	0	False	False	0	0.999080862006025	528.25	0.681542561332009	0.167272452521706	0.40760236609547995	0.168394571951907	WormBase	3515	0.0	24414.0	N2-J2-3__split	4394410	4397925	gene
WBGene00220042	ncRNA	DOG	IV	+	300	4769440	4769740	4769440	4769740	0	False	False	0	0.999080862006025	25.875	0.615725281251293	-0.46566220550878495	0.926659245954793	0.25192156713656305	WormBase	96	0.0	2652.0	N2-J2-2__split	4769344	4769440	gene
WBGene00044503	pseudogene	DOG	IV	+	200	6707052	6707252	6707052	6707252	0	False	False	0	0.999080862006025	32.125	0.6566729216711371	0.37696857932935995	0.849674170903717	0.19759034407616102	WormBase	2127	0.0	24921.0	N2-J2-3__split	6704925	6707052	gene
WBGene00219822	snoRNA	DOG	IV	+	200	6793200	6793400	6793200	6793400	0	False	False	0	0.999080862006025	100.625	0.738706843091133	0.182263016886434	0.546318112874099	0.11126648416483699	WormBase	226	0.0	2713.0	N2WT_INP_split	6792974	6793200	gene
WBGene00198262	ncRNA	DOG	IV	+	300	7236651	7236951	7236651	7236951	0	False	False	0	0.999080862006025	16.125	0.363430730794497	-0.9477354817126908	1.04259641308074	0.8260034292195191	WormBase	207	0.0	1071.0	OK80-INP_split	7236444	7236651	gene
WBGene00002221	pseudogene	DOG	IV	+	200	7800252	7800452	7800252	7800452	0	False	False	0	0.999080862006025	980.875	0.3779629062485129	-0.32203515110025605	0.36511966079323405	0.777317157560077	WormBase	3060	0.0	4788.0	OK80-INP_split	7797192	7800252	gene
WBGene00003827	protein_coding	DOG	IV	+	300	7915184	7915291	7915184	7915484	0	False	True	0	0.999080862006025	3541.5	0.21987863655141898	0.37988919828351403	0.30946138436094	1.5051631259313203	WormBase	4609	0.0	107.0	OK80-INP_split	7910575	7915184	gene
WBGene00012384	pseudogene	DOG	IV	+	1500	11070950	11072450	11070950	11072450	0	False	False	0	0.999080862006025	111.5	0.190508066596561	0.913604352331328	0.715165287982105	1.7136841589343899	WormBase	1563	0.0	12197.0	N2-J2-3__split	11069387	11070950	gene
WBGene00007107	protein_coding	DOG	IV	+	200	11315877	11316077	11315877	11316077	0	False	False	0	0.999080862006025	222.5	0.16714181221979998	0.532749516263154	0.385290929051807	1.9083935745446599	WormBase	735	0.0	1542.0	OK80-INP_split	11315142	11315877	gene
WBGene00012498	pseudogene	POG	IV	+	500	11608400	11608900	11608400	11608900	False	0	0	False	0.999080862006025	413.5	0.151046875478441	0.518082909238761	0.36058060899704797	2.0616465885146202	WormBase	2010	1443.0	0.0	OK8-J2-2_split	11608900	11610910	gene
WBGene00007736	protein_coding	DOG	IV	+	300	12474889	12475189	12474889	12475189	0	False	False	0	0.999080862006025	987.75	0.8336066616405821	0.0716559608579698	0.34108520287335403	0.0441328383074051	WormBase	6231	0.0	4122.0	OK80-INP_split	12468658	12474889	gene
WBGene00011418	protein_coding	DOG	IV	+	300	12482426	12482726	12482426	12482726	0	False	False	0	0.999080862006025	702.875	0.708235995086048	0.12718048367815898	0.33982986636634305	0.1400452869552	WormBase	3415	0.0	5153.0	OK80-INP_split	12479011	12482426	gene
WBGene00011940	protein_coding	DOG	IV	+	200	12703991	12704111	12703991	12704191	0	False	True	0	0.999080862006025	1419.0	0.6470485820137061	0.16087694102939099	0.351326932155667	0.20964144365029802	WormBase	15336	0.0	120.0	OK80-INP_split	12688655	12703991	gene
WBGene00007870	protein_coding	DOG	IV	+	300	12931514	12931814	12931514	12931814	0	False	False	0	0.999080862006025	136.75	0.8047817444964671	0.120557982967132	0.487828116563389	0.0610897621091624	WormBase	807	0.0	5224.0	OK8-J2-3_split	12930707	12931514	gene
WBGene00010085	protein_coding	DOG	IV	+	300	14425859	14426159	14425859	14426159	0	False	False	0	0.999080862006025	194.25	0.5717727997255689	-0.259145658540754	0.45827273562892695	0.31972526114175503	WormBase	1166	0.0	1836.0	OK80-INP_split	14424693	14425859	gene
WBGene00010087	protein_coding	POG	IV	+	1000	14426695	14427695	14426695	14427695	False	0	0	False	0.7483305269008059	131.5	0.02448457844066	-1.16231625944294	0.515144823027872	5.0599759026277	WormBase	769	1836.0	0.0	N2-J2-2__split	14427695	14428464	gene
WBGene00194649	protein_coding	DOG	IV	+	200	14783342	14783542	14783342	14783542	0	False	False	0	0.999080862006025	37.625	0.337329718662196	0.727627802409465	0.7578313815313772	0.9205533648811149	WormBase	698	0.0	3826.0	N2-J2-2__split	14782644	14783342	gene
WBGene00016219	protein_coding	DOG	III	+	200	124641	124778	124641	124841	0	False	True	0	0.999080862006025	153.875	0.8266598512535429	0.0938850455458261	0.42870459540509903	0.0479554879119206	WormBase	4149	0.0	137.0	OK80-INP_split	120492	124641	gene
WBGene00219745	lincRNA	DOG	III	+	400	355402	355802	355402	355802	0	False	False	0	0.999080862006025	150.375	0.9381137771913209	-0.0351633920701922	0.452847702302415	0.0060280956635807605	WormBase	3180	0.0	10547.0	N2-J2-3__split	352222	355402	gene
WBGene00019326	protein_coding	DOG	III	+	400	850586	850986	850586	850986	0	False	False	0	0.999080862006025	4559.875	0.8949122284671329	-0.0460519111443692	0.34863264025463103	0.0174480610147612	WormBase	4744	0.0	3633.0	N2-J2-3__split	845842	850586	gene
WBGene00044761	protein_coding	DOG	III	+	200	1403460	1403660	1403460	1403660	0	False	False	0	0.999080862006025	32.625	0.358290369746893	0.7063722625478549	0.768927005636412	0.843876740674339	WormBase	1514	0.0	1332.0	OK8-J2-2_split	1401946	1403460	gene
WBGene00022167	protein_coding	DOG	III	+	400	2826153	2826553	2826153	2826553	0	False	False	0	0.999080862006025	968.0	0.940529416775053	0.0252166722067448	0.338004121678835	0.00556582707841358	WormBase	6873	0.0	917.0	OK8-J2-1_split	2819280	2826153	gene
